Description,Extension,Category,MIME type
Mathcad Compressed Worksheet File,.xmcdz,Compressed,Unknown
KeyCreator Design Template,.ckt,CAD Files,Unknown
ZSNES Slot 4 Saved State File,.zs4,Game Files,Unknown
Windows Media Audio,.wma,Audio,audio/x-ms-wma
HLM Multivariate Data Matrix File,.mdm,Data Files,Unknown
After Effects Output Module,.aom,Settings Files,Unknown
System Information File,.nfo,System Files,Unknown
EnCase Logical Evidence File,.lx01,Disk Images,Unknown
Diamond Directive File,.ddf,Settings Files,application/vnd.syncml.dmddf+xml
Ensoniq KT File,.efk,Audio,Unknown
UC Browser Theme File,.uct,Settings Files,Unknown
Firefox Plugin,.xpi,Plugins,application/x-xpinstall
Luminar 4 Catalog Database,.luminar,Database Files,Unknown
Generic Data Library,.lib,Data Files,Unknown
Affinity Publisher Document,.afpub,Page Layouts,Unknown
Spectrum 512 Image,.spu,Images,Unknown
Cartes Michelin Image,.big,Images,Unknown
OneDrive Event Log,.odl,Database Files,Unknown
HDClone MFI Disk Image,.mfi,Disk Images,Unknown
Adobe InDesign Lock File,.inlk,Misc Files,Unknown
Microsoft PowerPoint Show,.pps,Presentations,application/vnd.ms-powerpoint
Raw Image File,.x3f,Images,image/x-sigma-x3f
Adobe InDesign Library,.indl,Page Layouts,Unknown
HTTrack Website Copier File,.whtt,Web Files,Unknown
CATIA 4 Export File,.dlv,CAD Files,Unknown
Royal TS Remote Connection File,.rts,Settings Files,Unknown
Blizzard Software Update File,.mfil,Misc Files,Unknown
Amica Paint Image,.[b],Images,Unknown
NVDA Add-On,.nvda-addon,Plugin Files,Unknown
TG4 Image,.tg4,Images,Unknown
Fetch Mirror Document,.fetchmirror,Settings Files,Unknown
Nextlabs Encrypted Data File,.nxl,Encoded Files,Unknown
Extensible Stylesheet Language Transformations File,.xslt,Data Files,application/xslt+xml
Microsoft Excel HTML Spreadsheet,.xlshtml,Spreadsheet,Unknown
Wii/GameCube Video File,.thp,Video,Unknown
Avid Project Preferences File,.avs,Settings Files,Unknown
WiX XML Output File,.wixout,Developer Files,Unknown
Windows Executable File,.exe,Executable,application/x-msdownload
Adobe Shortcut Set File,.indk,Misc Files,Unknown
Character Studio Biped File,.bip,3D Images,Unknown
AES Crypt Encrypted File,.aes,Encoded Files,Unknown
Help 2 Compiled Help File,.hxs,Web Files,Unknown
Captivate Theme File,.cptm,Settings Files,Unknown
PrestaShop Template File,.tpl,Web Files,application/vnd.groove-tool-template
Xcode Plug-in,.xcplugin,Plugin Files,Unknown
Home Designer Pro Project File,.cyp,CAD Files,Unknown
Xcode Mobile Provisioning Profile,.mobileprovision,Misc Files,Unknown
Belarc Advisor Report File,.bci,Data Files,Unknown
BIOS File,.bio,System Files,Unknown
Akai Sampler File,.akp,Audio,Unknown
YUV 4:4:4 Image,.yuv,Images,Unknown
RealJukebox Skin File,.rjs,Misc Files,Unknown
LightWave 3D Object,.lwo,3D Images,Unknown
Visual C++ ClassWizard File,.clw,Developer Files,Unknown
Rhino 3D Model,.3dm,3D Images,text/vnd.in3d.3dml
AutoCAD Menu LISP File,.mnl,Misc Files,Unknown
Google Sheets Shortcut,.gsheet,Spreadsheet,application/urc-grpsheet+xml
Fax Cover Page File,.cov,Page Layouts,Unknown
MEO Encrypted Archive,.meo,Encoded Files,Unknown
Android Opaque Binary Blob File,.obb,Data Files,Unknown
StarLogo Project File,.slogo,Developer Files,Unknown
ACDSee Luxea Video Editor Project,.alpx,Video,Unknown
Styled Layer Descriptor File,.sld,GIS Files,Unknown
Exchange Diagnostic Message,.bdp,Text,Unknown
Minecraft Anvil PocketMine Data File,.mcapm,Game Files,Unknown
Paintbrush Bitmap Image File,.pcx,Raster Images,image/x-pcx
Aseprite Extension,.aseprite-extension,Plugin Files,Unknown
QuarkXPress Project Template,.qpt,Page Layouts,Unknown
Vue Scene File,.vue,3D Images,Unknown
SAP Tutor File,.sim,Data Files,Unknown
osu! Beatmap File,.osz,Game Files,Unknown
XMind Template,.xmt,Page Layouts,Unknown
MapInfo Workspace File,.wor,GIS Files,Unknown
Filebolt Encrypted File,.filebolt,Encoded Files,Unknown
DAZ Studio 3D Scene,.daz,3D Images,Unknown
QuickBooks 2012 File,.qb2012,Data Files,Unknown
Broderbund Sign File,.sig,Raster Images,application/pgp-signature
VMware Console Configuration File,.xvm,Settings Files,application/xv+xml
Windows EXE Relocation Section File,.reloc,Misc Files,Unknown
Microsoft Word XML Template,.dotm,Metadata Files,application/vnd.ms-word.template.macroenabled.12
Photoshop 5.0 Selection Plug-in,.8bs,Plugin Files,Unknown
KTooN Animation Project File,.ktn,Video,Unknown
Grasshopper Binary Definition,.gh,3D Images,Unknown
ShadowProtect Incremental Backup File,.spi,Backup Files,Unknown
BMF Image,.bmf,Images,Unknown
AnyDesk Remote Session Recording,.anydesk,Video,Unknown
Fragment Program File,.fp,3D Images,Unknown
Block Artist Image File,.blkrt,Raster Images,Unknown
Microsoft Works Communications Script Backup,.bcm,Backup Files,Unknown
ActiveX Control,.ocx,Developer Files,Unknown
HP-48/49 GROB Image,.grb,Images,Unknown
Sealed JPG File,.sjpg,Encoded Files,image/vnd.sealedmedia.softseal.jpg
Slax Bundle,.sb,System Files,Unknown
Final Draft Document,.fdx,Text,Unknown
Smush Animation File,.san,Video,Unknown
Unified Office Format Spreadsheet,.uof,Spreadsheets,Unknown
Dashlane Profile,.dash,Backup Files,Unknown
OpenXPS File,.oxps,Page Layouts,application/oxps
macOS Menu Extra,.menu,System Files,Unknown
StarOffice Writer Document,.sxw,Text,application/vnd.sun.xml.writer
HTML Extension File,.htx,Web Files,Unknown
TAK 2000 Thermal Model File,.tak,CAD Files,Unknown
TI-89 Program,.89z,Executable,Unknown
Triangle Mesh File,.tri,3D Images,Unknown
FMOD Audio Bank,.bank,Audio,Unknown
Adobe Muse Website Project,.muse,Web Files,Unknown
R Project,.rproj,Settings Files,Unknown
Game Boy Advance ROM,.gba,Game Files,Unknown
Mathcad Worksheet File,.xmcd,Data Files,Unknown
TuneUp Utilities Boot Screen,.tbs,Misc Files,Unknown
CADViewer Redline Markup File,.red,CAD Files,Unknown
Dynamics AX Kernel Help Index File,.khi,Misc Files,Unknown
Clash Royale Card File,.card,Misc Files,Unknown
Coda Syntax Mode File,.mode,Plugin Files,Unknown
Structured Query Language Data File,.sql,Database Files,application/sql
Adobe Prelude Project File,.plproj,Video,Unknown
DreamPlan Home Design Project,.ddp,3D Images,Unknown
Duxbury Braille File,.dxb,Text,Unknown
Apple Mail Message,.emlx,Text,Unknown
Vi Swap File,.swp,Misc Files,Unknown
Protracker Studio Module,.psm,Audio,Unknown
Symantec LiveUpdate File,.liveupdate,Data Files,Unknown
LEGO MINDSTORMS EV3 Robot Graphics File,.rgf,Raster Images,Unknown
JVC JLIP Image,.vna,Raster Images,Unknown
Avery DesignPro for Mac Label File,.cndx,Page Layouts,Unknown
LZMA Compressed File,.lzma,Compressed,Unknown
RealWorld Layered Cursor Image,.rcu,Raster Images,Unknown
Chitubox Sliced 3D Model,.cbddlp,CAD Files,Unknown
PAQ8L Data Archive,.paq8l,Compressed,Unknown
Artifacts Project,.artproj,Developer Files,Unknown
Xiegu G Series Firmware Update,.xgf,System Files,Unknown
DVD Video Recording Format,.vro,Video,Unknown
Blizzard StarCraft 2 Saved Game,.sc2save,Game Files,Unknown
ASP.NET Site Map File,.sitemap,Web Files,Unknown
Approach Alternate Database Index,.oyx,Backup Files,Unknown
Repp Ransomware Encrypted File,.repp,Encoded Files,Unknown
Hi-Eddi Image,.hed,Images,Unknown
Windows Virtual Device Driver,0.386,System Files,Unknown
CandyBar iContainer File,.icontainer,Misc Files,Unknown
FreeHand 8 Template,.ft8,Vector Images,Unknown
DAZ Studio Binary Script,.dsb,3D Images,Unknown
TINA Design File,.tsc,CAD Files,Unknown
Open Network Configuration,.onc,Settings Files,Unknown
Ogg Vorbis Audio File,.oga,Audio,audio/ogg
Zyzzyva Quiz,.zzq,Text,Unknown
Binary ExtendScript Script File,.jsxbin,Plugin Files,Unknown
Extended Module Audio File,.xm,Audio Files,Unknown
TeX Font Metric File,.tfm,Font Files,application/x-tex-tfm
Microsoft ICE Panorama Project,.spj,Raster Images,Unknown
Pro Tools Region Group File,.rgrp,Audio,Unknown
Cisco IP Phone Firmware File,.sbn,System Files,Unknown
Outlook Message Item File,.msg,Common File Types,Unknown
Separated Image File,.sep,Raster Images,Unknown
Universal Disk Format File,.udf,Disk Images,Unknown
MPEG-1 Audio Layer I,.mp1,Audio Files,audio/mpeg
Nullsoft Streaming Audio File,.nsa,Audio,Unknown
Symbian OS Application,.app,Executable,Unknown
wxFormBuilder Project,.fbp,Developer Files,Unknown
AMX Software Module File,.tko,Plugin Files,Unknown
PTRZ Ransomware Encrypted File,.ptrz,Encoded Files,Unknown
Compressed Wii / GameCube ROM,.rvz,Game Files,Unknown
Sudoku Puzzle File,.sud,Game Files,Unknown
openCanvas 1.1 Event File,.wpe,Raster Images,Unknown
Kodak Cineon Image,.cin,Images,Unknown
DAZ User File,.duf,3D Images,Unknown
Handheld Device Markup Language File,.hdml,Web Files,Unknown
Comodo Backup Script,.cbs,Backup Files,Unknown
Adobe MARS File,.mars,Page Layouts,Unknown
Amiga MED Sound File,.med,Audio,Unknown
Vim Settings File,.vim,Settings Files,Unknown
Drumaxx Drum Kit,.dmkit,Plugin Files,Unknown
Husqvarna Viking Embroidery Design File,.dhv,Misc Files,Unknown
GandCrab Ransomware Encrypted File,.gdcb,Encoded Files,Unknown
EnCase Image File,.e01,Disk Images,Unknown
UltraTracker Wave File,.uwf,Audio,Unknown
Split Windows Imaging Format File,.swm,Disk Images,Unknown
SuperTux Sprite File,.sprite,Game Files,Unknown
WordPerfect Template,.wpt,Text,Unknown
Anime List Builder Input File,.igc,Data Files,Unknown
iPhone Backup File,.mddata,Backup Files,Unknown
Garmin Voice File,.vpm,Audio,multipart/voice-message
Terraria Mobile World File,.world,Game Files,Unknown
Wavelet Video Images File,.rdb,Video,Unknown
Office Accounting Company Shortcut File,.sbc,Misc Files,Unknown
SpectraLayers Pro Project,.slp,Audio,Unknown
iOS Wallpaper Image,.cpbitmap,Raster Images,Unknown
EndNote Filter File,.enf,Misc Files,Unknown
Windows Virtual PC Backup File,.vpcbackup,Backup Files,Unknown
Graphics Kernel System File,.gks,Vector Images,Unknown
Windows Input Method Editor File,.ime,System Files,Unknown
Utilius Fairplay Project,.fpdx,Video,Unknown
FreeHand 11 Drawing Template,.ft11,Vector Images,Unknown
PhotoFantasy Image,.fsy,Images,Unknown
CryptoWall Ransomware Encrypted File,.aaa,Encoded Files,Unknown
CVS Command File,.cvsrc,Developer Files,Unknown
Webshots Picture File,.wb0,Raster Images,Unknown
GIMP Image File,.xcf,Raster Images,image/x-xcf
G.721 ADPCM Audio,.g721,Audio,Unknown
Visual Studio Text Macro Project,.vsmproj,Developer Files,Unknown
H.266 (VVC) Video,.h266,Video,Unknown
Freeway Action File,.fwaction,Plugin Files,Unknown
AutoCAD Drawing Standards File,.dws,CAD Files,Unknown
Cyberduck Bookmark,.duck,Settings Files,Unknown
Android Debug Bridge Backup,.ab,Backup Files,Unknown
mimoLive Template,.tvtemplate,Settings Files,Unknown
Bryce Plug-in File,.brm,Plugin Files,Unknown
Microsoft .NET Download Package,.mzz,Misc Files,Unknown
Fonix Ransomware Encrypted File,.fonix,Encoded Files,Unknown
PhysicsEditor License Key,.pekey,Misc Files,Unknown
Zipped File,.zpi,Compressed,Unknown
Poweramp Album Art File,.pamp,Misc Files,Unknown
DigiDoc Signature File,.ddoc,Encoded Files,Unknown
Quicken 2016 Backup File,.quicken2016backup,Backup Files,Unknown
BinHex Encoded File,.hex,Encoded Files,Unknown
Cyberlink TOD Video File,.tpd,Video,Unknown
Storyist Application Theme File,.storyisttheme,Settings Files,Unknown
FME Custom Format File,.fds,GIS Files,Unknown
Chess Engine,.eng,Game Files,Unknown
Master Navigator Header File,.mnh,GIS Files,Unknown
ACDSee Plugin File,.apl,Plugin Files,Unknown
Systemd Unit Configuration File,.timer,System Files,Unknown
Professional Home Design Project,.pro,3D Images,Unknown
Numbers iCloud Document,.numbers-tef,Spreadsheet,Unknown
Printer Command Language XL Document,.pxl,Page Layouts,Unknown
Furnace Module,.fur,Audio,Unknown
Windows Font Library,.fon,Font Files,Unknown
Winamp 3+ Playlist,.b4s,Metadata Files,Unknown
Mastercam Learning Edition Model,.emcam,3D Images,Unknown
KWord Document,.kwd,Text,application/vnd.kde.kword
ASP Configuration File,.asa,Web Files,Unknown
Comic Book Collection,.cbc,eBook,Unknown
ProFicient SPC Manufacturing Intelligence Project File,.ipj,Database Files,Unknown
JPEG XR Image,.jxr,Raster Images,image/jxr
Truevision Targa Image,.targa,Images,Unknown
Bryce 7 Scene File,.br7,3D Images,Unknown
PREMIER+ / Husqvarna Viking / Pfaff Embroidery File,.vp4,Misc Files,Unknown
sPlan 7 Schematic Diagram File,.spl7,Page Layouts,Unknown
Tk Script,.tk,Developer Files,text/x-tcl
ProntoDoc for Excel Conventional Document,.pder,Page Layouts,Unknown
ConceptDraw MINDMAP Document,.cdmm,Vector Images,Unknown
Ensoniq EPS Disk Image,.ede,Disk Images,Unknown
Android Thumbnail Cache,.tdb,Data Files,Unknown
Nokia Phone Backup Copy File,.nfc,Backup Files,Unknown
VRML Virtual World,.vrl,3D Images,Unknown
Temporary (Temp) File,.temp,Misc Files,Unknown
CD Catalog Expert Database File,.zdc,Data Files,Unknown
Game Maker 8.1 Project File,.gm81,Developer Files,Unknown
Universal 3D File,.u3d,3D Images,model/u3d
FHC Data File,.fhc,Data Files,image/x-freehand
FXML Source Code File,.fxml,Developer Files,Unknown
Actions Media Video,.amv,Video,Unknown
Trelby File,.trelby,Text,Unknown
BASIC Source File,.b,Developer Files,chemical/x-molconn-Z
Draz Paint Image,.drz,Images,Unknown
Btrieve Database File,.btr,Database Files,Unknown
Java Servlet Alias,.jspa,Web Files,Unknown
AutoCAD Linetype File,.lin,CAD Files,application/bbolin
Black & White Audio File,.sad,Game Files,Unknown
Corel Presentations Master Template File,.mst,Settings Files,Unknown
Konica Camera File,.kqp,Images,Unknown
Dolby Digital AC-3 Compressed Audio File,.a52,Audio Files,Unknown
Ancestral Quest Collaborative Database File,.ac,Database Files,application/pkix-attr-cert
Registry Mechanic Backup File,.rrr,Backup Files,Unknown
Installer Source File,.isn,Misc Files,Unknown
H&R Block Canada 2017 Tax Return,.h17,Data Files,Unknown
Windows Media Audio Redirect,.wax,Audio,audio/x-ms-wax
Database Variable Field File,.dbv,Database Files,Unknown
Device Driver,.drv,System Files,Unknown
Express Burn Project,.ebp,Text,Unknown
DataPower Database File,.dp1,Database Files,Unknown
Cook'n Cookbook Backup File,.ck9,Backup Files,Unknown
Adobe Rights Management Document,.rmf,Misc Files,Unknown
Seattle Film Works multi-image,.pwp,Images,Unknown
N-Gage Game File,.ngage,Game Files,Unknown
Synthesizer V Project,.svp,Audio,Unknown
JCreator Project File,.jcp,Developer Files,Unknown
Geology Multi-File,.gmf,GIS Files,Unknown
JVC Everio Video Capture File,.tod,Video,Unknown
Windows 8 Piano Song,.pno,Audio,Unknown
TurboCAD Drawing File,.tcw,CAD Files,Unknown
Nintendo Kit Game ROM File,.nkit,Disk Images,Unknown
Mac OS X System Preference Pane,.prefpane,System Files,Unknown
Japanese (Romaji) Text File,.jp1,Text,Unknown
Vertex Shader File,.vsh,3D Images,Unknown
LEGO Digital Designer XML File,.lxfml,Text,Unknown
Acronis True Image File,.tib,Disk Images,Unknown
Aseprite Sprite File,.aseprite,Raster Images,Unknown
Rich Text Format Document,.rtf,Documents,application/rtf
Oracle VM VirtualBox Settings File,.vbox,Settings Files,application/vnd.previewsystems.box
Zstandard Compressed Tar File,.tzst,Compressed,Unknown
Universal Data Connection File,.udcx,Settings Files,Unknown
Indigo Renderer Material File,.igm,3D Images,application/vnd.insors.igm
IBM Printer Page Segment Image,.pse,Images,Unknown
ZX Spectrum Hobetta Image,.$c,Images,Unknown
Winamp Language Pack,.wlz,Plugin Files,Unknown
Quilt Manager Pattern File,.qcc,Vector Images,Unknown
Multisim 12 Circuit Design File,.ms12,CAD Files,Unknown
FlashTool Firmware File,.ftf,System Files,Unknown
Navigator Chart Image Description File,.cid,Raster Images,Unknown
PFS First Choice Database File,.fol,Database Files,Unknown
Adobe Photoshop Light Preset File,.p3l,3D Images,Unknown
Space Engine 3D Mesh File,.sm,3D Images,application/vnd.stepmania.stepchart
Visual Studio Serialized Performance Report,.vsps,Developer Files,Unknown
Page Segment File,.psg,Page Layouts,application/vnd.afpc.modca-pagesegment
Dolby Digital AC-3 Compressed Audio File,.ac3,Audio Files,audio/ac3
Khronos Texture 2.0,.ktx2,Raster Images,image/ktx2
OMSI Human Configuration File,.hum,Game Files,Unknown
Ableton Max Patch File,.amxd,Audio,Unknown
WhatsApp Encrypted Database File,.crypt1,Database Files,Unknown
Yu-Gi-Oh! Deck File,.ydk,Game Files,Unknown
Adobe Monitor Setup File,.ams,Settings Files,Unknown
ToolBook File,.tbk,Data Files,Unknown
BERNINA ARTlink 8 Embroidery File,.art80,Misc Files,Unknown
NetMeeting User Location Service File,.uls,Misc Files,Unknown
VTX Chiptune File,.vtx,Audio,Unknown
Renamed Microsoft Excel Spreadsheet,._xlsx,Spreadsheet,Unknown
ACID Project File,.acd,Audio,Unknown
Lossless JPEG Image,.ljp,Raster Images,Unknown
Blender 3D Data File,.blend,3D Images,Unknown
PC-Axis Statistical Database,.px,Database Files,Unknown
Zoo Tycoon 2 Object File,.z2f,Game Files,Unknown
Skype Emoticon Set File,.skypeemoticonset,Raster Images,Unknown
RipIt DVD Package,.dvdmedia,Video,Unknown
MOI Video File,.moi,Video,Unknown
Manga Studio Page File,.cpg,Raster Images,Unknown
Dungeon Defenders Saved Game File,.dun,Game Files,Unknown
License File,.lcn,Encoded Files,Unknown
WinRAR Split Archive Part 3,.r03,Compressed,Unknown
Web Bundle,.wbn,Web Files,Unknown
Database File,.dbf,Database Files,application/vnd.dbf
WinFAX Image,.fxo,Images,Unknown
ROM Update Utility Image File,.nbh,System Files,Unknown
Finale 2014 Auto-Saved Score,.asvx,Backup Files,Unknown
WCS Color Appearance Model Profile File,.camp,Settings Files,Unknown
Packet Capture File,.cap,Data Files,application/vnd.tcpdump.pcap
JPEG / JFIF Image,.j,Images,Unknown
Nitro Ransomware,.givemenitro,Encoded Files,Unknown
Worldlabel.com Label Designer File,.wlp,Page Layouts,Unknown
Winclone Image,.winclone,Disk Images,Unknown
AutoCAD Menu Resource File,.mnr,Raster Images,Unknown
Pixbend Media File,.pxv,Video,Unknown
DPX Image,.dpx,Images,Unknown
Multisim 9 Circuit Design File,.ms9,CAD Files,Unknown
PCI Geomatics Database File,.pix,GIS Files,Unknown
Capture One Lens Cast Correction File,.lcc,Settings Files,Unknown
InCopy CS3 Interchange File,.incx,Page Layouts,Unknown
WannaCry Virus Encrypted File,.wcry,Encoded Files,Unknown
Hasselblad 3F RAW Image,.3fr,Images,Unknown
Sent OneDrive Event Log,.odlsent,Database Files,Unknown
StarMoney Encrypted Document,.pdy,Encoded Files,Unknown
Adobe Acrobat MIME Encoded Job Definition File,.mjd,Encoded Files,Unknown
Compiled Source Code,.cod,Developer Files,application/vnd.rim.cod
Cal3D Binary Skeleton File,.csf,3D Images,chemical/x-cache-csf
Brigham Young University Movie File,.byu,Video,Unknown
Siemens Voice Memo File,.vmo,Audio,Unknown
Ulead Disc Image,.ixb,Data Files,Unknown
Beam Report Document,.brx,Text,Unknown
WinRAR Split Archive Part 4,.r04,Compressed,Unknown
Mac OS X Application Framework,.framework,Developer Files,Unknown
Outlook 2002 Nickname File,.nk2,Misc Files,Unknown
Gravit Designer File,.gvdesign,Vector Images,Unknown
QuickBooks 2011 File,.qb2011,Data Files,Unknown
Amazon Kindle eBook File,.azw,eBook,application/vnd.amazon.ebook
Grand Prix 3 Cockpit Shape File,.cp3,Misc Files,Unknown
Java Web Start File,.jnp,Text,Unknown
AVCHD Video File,.mts,Videos,model/vnd.mts
Outlook RSS Subscription File,.obi,Settings Files,Unknown
SignPlot Traffic Sign File,.sp,Page Layouts,Unknown
AIN Compressed Archive,.ain,Compressed,Unknown
Video Recording File,.pgi,Video,Unknown
MetaTrader 5 Program File,.ex5,Executable,Unknown
QBA Transaction Log File,.qba.tlg,Backup Files,Unknown
Cineform Studio Video Project,.gcs,Video,Unknown
MySafe Encrypted Data,.fdp,Compressed,Unknown
Interface Builder User Interface File,.nib,Developer Files,Unknown
Rich Site Summary,.rss,Web Files,application/rss+xml
dBASE Temporary File,.$db,Backup Files,Unknown
Powersoft Report File,.psr,Page Layouts,Unknown
Readme File,.1st,Text,Unknown
QuickReport File,.qrp,Data Files,Unknown
InCopy CS3 Assignment File,.inca,Misc Files,Unknown
Ada Specification File,.ads,Developer Files,Unknown
Android System File,.sbf,System Files,Unknown
Delta RPM File,.drpm,System Files,Unknown
eManager Template Package,.xez,Compressed,Unknown
Archicad Teamwork Draft Archive,.pca,CAD Files,Unknown
AdWords Editor Archive,.aea,Backup Files,Unknown
Hewlett-Packard Software Restore File,.paq,Backup Files,Unknown
WRUI Ransomware Encrypted File,.wrui,Encoded Files,Unknown
SCAR Script,.scar,Executable,Unknown
Topfield PVR Recording,.rec,Video,Unknown
Aspen HYSYS Simulation File,.hsc,CAD Files,Unknown
WordPerfect Macro File,.wpm,Executable,Unknown
CLFS Base Log File,.blf,System Files,Unknown
Cube Graphics File,.brn,Raster Images,Unknown
MAX Interchange Notation File,.min,CAD Files,Unknown
Microsoft Excel Visual Basic Module,.xlv,Plugin Files,Unknown
Universal Scene Description Zipped Format,.usdz,3D Images,model/vnd.usdz+zip
Nintendo DS Game ROM,.nds,Game Files,application/vnd.nintendo.nitro.rom
Origin Unicode Workbook File,.ogwu,Spreadsheet,Unknown
CD Audio Track Shortcut,.cda,Audio,application/x-cdf
DTED Level 2 File,.dt2,GIS Files,Unknown
RealMedia Variable Bit Rate File,.rmvb,Video,Unknown
Softimage Add-on File,.xsiaddon,Plugin Files,Unknown
SiteMinder Unauthorized Message File,.unauth,Text,Unknown
SQLite 3 Database,.sqlite3,Database Files,application/vnd.sqlite3
SQLite 3 Database,.sqlite3,Database Files,application/x-sqlite3
Multilingual User Interface File,.mui,System Files,Unknown
JavaScript Proxy Autoconfig File,.jvs,Web Files,Unknown
PostScript Printer Description File,.ppd,System Files,application/vnd.cups-ppd
DVD-lab Project File,.dal,Data Files,Unknown
Adobe InDesign Document Presets File,.dcst,Settings Files,Unknown
BASIC Source Code File,.bas,Developer Files,Unknown
Device Independent Format File,.dvi,Text,application/x-dvi
ES File Explorer File Manager Temporary File,.escopy,System Files,Unknown
VRML File,.vrml,Web Files,model/vrml
Software License File,.sl,Settings Files,text/vnd.wap.sl
Hayes JTFax Image,.jtf,Images,Unknown
Openbox Theme File,.obt,Settings Files,Unknown
Show Cue System Cue File,.scs11,Audio,Unknown
XML Shareable Playlist File,.xspf,Audio,application/xspf+xml
Hypertext Markup Language Source File,.html,Source Code,text/html
Windows Backup Catalog,.wbcat,Backup Files,Unknown
Forth Language File,.4th,Developer Files,Unknown
Unity Shader Asset,.shader,Game Files,Unknown
Microsoft Excel Spreadsheet,.dex,Spreadsheet,Unknown
ASP.NET Web Service File,.asmx,Web Files,Unknown
Gridfour Virtual Raster Store Image,.gvrs,Raster Images,Unknown
Minecraft BO2 Object File,.bo2,Game Files,Unknown
Mass Effect 2 Audio File,.afc,Audio,Unknown
TaxAct 2021 1040 Tax Return Backup,.ba1,Backup Files,Unknown
Mathcad Handbook File,.hbk,Text,Unknown
openCanvas 6 Event File,.oe6,Raster Images,Unknown
MDCD Compressed Archive,.md,Compressed,text/markdown
Binary Printer Description File,.bud,System Files,Unknown
Acronis True Image Backup,.tibx,Backup Files,Unknown
Mozilla User Profile Folder,.slt,Settings Files,application/vnd.epson.salt
Sony Ericsson Backup File,.bm3,Backup Files,Unknown
Stardent AVS X Image,.x,Images,Unknown
EverFocus Recording File,.avr,Video,Unknown
PlantUML File,.pu,Text,Unknown
Male MRI Image,.t1,Images,Unknown
SoundEdit Recorded Instrument,.dewf,Audio,Unknown
iMindMap Map File,.imm,Page Layouts,Unknown
Mac OS X Folder Settings File,.ds_store,Settings Files,Unknown
Video Game Music Compressed File,.vgz,Audio,Unknown
Mastercam X8 Model,.mcx-8,3D Images,Unknown
Panasonic RAW Image,.rw2,Camera Raw Image,image/x-panasonic-raw
Storyist Document,.story,Text,Unknown
USM Game Video,.usm,Game Files,Unknown
AOMEI Backupper Disk Backup File,.adi,Backup Files,Unknown
Filmora Thumbnail,.fsthumb,Raster Images,Unknown
Doodle Atari Image,.doo,Images,Unknown
Valve Map File,.vmf,Game Files,Unknown
DIALux 3D Object File,.m3d,3D Images,Unknown
Wana Decrypt0r 2.0 Temporary File,.wncryt,Encoded Files,Unknown
AudioVisual Book Data File,.abcd,Data Files,Unknown
Facebook User Information Encrypted Archive,.zip.enc,Encoded Files,Unknown
MathType Translator Definition Language,.tdl,Misc Files,Unknown
Ad-Aware Quarantined File,.bckp,Backup Files,Unknown
Well-Known Text Geometry,.wkt,GIS Files,Unknown
WiX Transform File,.wixmst,Developer Files,Unknown
Quick and Dandy Plotter File,.qdp,Data Files,Unknown
Clip Studio Paint Illustration,.clip,Raster Images,Unknown
Unreal Audio Package,.uax,Audio,Unknown
Melancholytron Photoshop Plug-in,.q5r,Plugin Files,Unknown
Source Code File,.s,Developer Files,text/x-asm
eDrawings Assembly File,.easm,CAD Files,Unknown
PhotoSuite Album File,.pza,Raster Images,Unknown
Windows Search Index Database,.edb,Database Files,Unknown
Intergraph Format Image,.itg,Images,Unknown
Pattern Maker for Cross Stitch 4 Pattern,.xsd,Misc Files,Unknown
Valve Steam Archive,.blob,Settings Files,Unknown
Digital TV DVR Recording,.tsp,Video,application/dsptype
Spark AR Project,.arproj,3D Images,Unknown
Premiere Pro Filter Preset File,.prfpset,Settings Files,Unknown
Windows Cursor Library,.cul,Misc Files,Unknown
Electa Live Classroom Session Recording,.el8,Video,Unknown
Subversion Base File,.svn-base,Developer Files,Unknown
Nintendo Wii Game File,.elf,Executable,Unknown
VisionLab Studio Project File,.vlab,Video,Unknown
NeoGeo Pocket ROM,.ngp,Game Files,Unknown
eDrawings File,.eprt,CAD Files,Unknown
Symbian Application Logo File,.fil,Raster Images,Unknown
Xbox Media Video File,.xmv,Video,Unknown
Hopedot VOS Data File,.pgx,Disk Images,Unknown
Geography Markup Language File,.gml,GIS Files,application/gml+xml
JM-Crypt Encrypted File,.jmcr,Encoded Files,Unknown
VMware Policy File,.vmpl,Settings Files,Unknown
webOS TV Application,.ipk,Executable,application/vnd.shana.informed.package
ProPresenter Quartz Composition,.proqc,Video,Unknown
KaraFun Karaoke File,.kfn,Audio,Unknown
ArtCut 5 Document,.ac5,Vector Images,Unknown
Internet Security Certificate,.cer,Web Files,application/pkix-cert
CrossOver Bottle Archive,.cxarchive,Compressed,Unknown
Degas Elite Medium Res Image File,.pc2,Raster Images,Unknown
Python Script,.py,Developer Files,text/x-python
VRML2 Image,.wrl,Images,model/vrml
iStudio Publisher Document,.ispx,Page Layouts,Unknown
VideoConvert Project File,.vcpf,Video,Unknown
SQX Archive,.sqx,Compressed,Unknown
Altium Designer Integrated Library Package,.libpkg,CAD Files,Unknown
iAntiVirus Temporary Scan File,.vbt,Misc Files,Unknown
Multisim 7 Project File,.mp7,CAD Files,Unknown
JSON Playlist File,.jspf,Audio,Unknown
COBOL Source Code File,.cob,Developer Files,Unknown
Golden Software Reference File,.gsr2,GIS Files,Unknown
Backup Configuration File,.cbk,Backup Files,Unknown
FlashGet Incomplete Download,.jc!,Misc Files,Unknown
