Description,Extension,Category,MIME type
SyncCrypt Ransomware Encrypted File,.kk,Encoded Files,Unknown
Extended Unix Code File,.euc,Text,Unknown
Mobile Phone vNote File,.vnt,Text,Unknown
Adobe Character Animator Puppet,.puppet,Vector Images,Unknown
NXT Brick Audio File,.rso,Audio,Unknown
ACDSee Image Sequence File,.ais,Raster Images,Unknown
BookSmart Template,.booktemplate,Page Layouts,Unknown
Mac OS X Kernel Extension,.kext,System Files,Unknown
Pandora Android App Executable,.pandora,Audio,Unknown
Inter-Tel Web Conference Recording,.lrec,Video,Unknown
SpeedGrade Look File,.look,Settings Files,Unknown
Lotus Organizer 6 File,.or6,Data Files,Unknown
QlikView Extension Properties Page File,.qvpp,Settings Files,Unknown
SolidWorks Part,.sldprt,CAD Files,Unknown
NVivo for Windows Project,.nvp,Settings Files,Unknown
Yamaha TX16W Audio File,.txw,Audio,Unknown
Encrypted Audible Enhanced Audiobook,.aaxc,Audio,Unknown
SparkMaker 3D Print File,.wow,3D Images,Unknown
Atom Syndication Format File,.atom,Web Files,application/atom+xml
Sony ACID Project With Embedded Media File,.acd-zip,Audio,Unknown
AutoCAD Movie Command File,.mvi,Misc Files,Unknown
BlackBerry Encrypted Media,.rem,Encoded Files,Unknown
Avery Design & Print Label File,.avery,Page Layouts,Unknown
WinTrack Object File,.te3,Data Files,Unknown
FreeHand 6 Drawing File,.fh6,Vector Images,Unknown
iPhone Carrier Bundle,.ipcc,Settings Files,Unknown
Microsoft Open XML Macro-Enabled Excel Spreadsheet,.xlsm,Spreadsheets,application/vnd.ms-excel.sheet.macroenabled.12
Visual Studio Setup and Deployment Project,.vdproj,Developer Files,Unknown
Andrew Toolkit raster object Image,.atk,Images,Unknown
Qompose Web Page Template,.qf,Web Files,Unknown
Windows App Package,.appx,Developer Files,Unknown
Ransomware Encrypted File,.zzzzz,Encoded Files,Unknown
Apple Music Library,.musiclibrary,Database Files,Unknown
Broderbund Business Card File,.biz,Page Layouts,Unknown
Ruby Source Code,.rb,Developer Files,application/x-ruby
VirtualDrive Disc Image Part 2 File,.d01,Disk Images,Unknown
Sidecar Image Edit File,.aae,Data Files,Unknown
SQR Output File,.lis,Text,Unknown
Nord Sample,.nsmp,Audio,Unknown
MySQL Server Script,.server,Executable,Unknown
Manga Document,.mga,Page Layouts,Unknown
