Extension,Metadata,Category,MIME Type
.screenrec,ScreenRec recording,Video,
.awlive,Active WebCam live capture video,Video,
.dcr,Digital Court Recorder video,Video,image/x-kodak-dcr
.ismv,Smooth Streaming MPEG-4 multimedia fragment,Video,
.flm,AutoCAD film roll data,Video,
.3gp_128x96,3GP video data,Video,
.str,SONY PlayStation movie stream file,Video,application/vnd.pg.format
.3g2,3GPP2 multimedia data,Video,video/3gpp2
.swi,SWiSH data,Video,application/vnd.arastra.swi
.rmvb,RealMedia variable bitrate,Video,
.hav,Video Recorder video data,Video,
.tod,Hard disk camera movie MPEG-2 transport stream,Video,
.mjpg,Motion JPEG Video,Video,
.h64,Audioless H.264 video data,Video,
.nmm,Microsoft 3D Movie Maker recorded video,Video,
.mpeg2,Multiplexed MPEG-1/2 stream,Video,
.ub1,X-Driven DRS-1100 recorded video file,Video,
.vmlf,AVI movie,Video,
.vp9,VP9 video,Video,
.dvm,DVM Movie File Format,Video,
.rpl,ARMovie video,Video,
.dscf,Fujifilm video,Video,
.m2ts,MPEG-2 stream (Blu-Ray),Video,
.h3r,Panasonic camera security recording,Video,
.mjp,VTech MJP Video file,Video,
.flux,FluxTime Studio clip,Video,
.rec_part0,Walker File format video,Video,
.r3d,REDCODE multimedia data,Video,
.apz,AMS shared project,Video,
.mps,MPEG-1 audio and video file system stream,Video,
.epm,Destiny MPE Encoder encrypted portable media,Video,
.otrkey,OTRKEY encoded video,Video,
.mtv,MTV video format,Video,
.rm,RealMedia multimedia,Video,application/vnd.rn-realmedia
.ifv,Indeo Video Format,Video,
.g64,Security camera video,Video,
.rt4,Panasonic WJ-RT416 video recording,Video,
.mj2,JPEG 2000 motion sequence format (ISO 15444-3),Video,video/mj2
.dmsd,Roxio Creator MyDVD DVD project,Video,
.movie,Apple QuickTime movie,Video,video/x-sgi-movie
.rdg,Morae recorded video file,Video,
.scc,ScreenFlow screen recording,Video,
.y4m,YUV4MPEG2 video,Video,
.mpg4,MPEG-4 video file format,Video,video/mp4
.3gpp,3GPP Third generation partnership project movie,Video,audio/mp4
.urc,Unicenter Remote Control data,Video,
.crec,Microsoft Lync 2010 record,Video,
.eye,Eyemail ETI Camcorder Pro video data,Video,
.rcproject,iMovie project,Video,
.rv,RealVideo video,Video,
.dmsm,Roxio Creator VideoWave movie project,Video,
.mmv,MicroMV movie,Video,
.mpv,MPEG 1 video,Video,
.djanimations,Digital Juice animation data,Video,
.mpgv,MPEG-2 video data,Video,
.g2m,GoToMeeting video,Video,
.prel,Adobe Premiere Elements project,Video,
.lsf,Advanced Streaming Format,Video,
.mvc,Multiview Video Coding video,Video,
.tmi,Thin Client Media-3 encoded video,Video,
.mxv,MAGIX Movie Edit Pro video,Video,
.wsve,Wondershare Filmora project,Video,
.slc,AT&T U-verse recorded video,Video,application/vnd.wap.slc
.hup,Haihaisoft DRM-X protected video,Video,
.f4v,Adobe Flash mp4 multimedia,Video,video/x-f4v
.mpgx,MPEG video,Video,
.rargb,Warez movie,Video,
.dvr-ms,Microsoft Digital Video Recording,Video,
.jmf,Java Media Framework data,Video,
.w3d,Adobe Shockwave 3D scene export,Video,application/x-director
.pmf,Sony PlayStation PSP movie,Video,
.aut,iPIX interactive pictures format,Video,
.qt,Apple QuickTime movie clip,Video,video/quicktime
.m65,REI Camera System video format,Video,
.ppj,Adobe Premiere 6 and older video project,Video,
.ps,MPEG program stream format,Video,application/postscript
.mv2,MPC-HC mpeg video,Video,
.swc,Adobe Flash component distribution data,Video,
.ml20,MSN Webcam Recorder video file,Video,
.vpg,VideoPad video,Video,
.fcp,Final Cut Pro project,Video,
.ts4,MPEG-2 video,Video,
.pgmx,Pegasys video,Video,
.fsv,FreeSWITCH video data,Video,
.jyk,Warez movie,Video,
.mv,IRIX command compressed movie,Video,
.fm2,FCEUX movie,Video,
.bdav,Mistaken M2TS video,Video,
.mp4;v=1,MPEG-4 video file format,Video,
.eva,MSX video,Video,
.seq,Norpix StreamPix video sequence,Video,
.hq,Apple ProRes 422 HQ video,Video,
.swz,Adobe Flash Player signed RSL data,Video,
.bdmv,Blu-ray information,Video,
.tms,Arcsoft Showbiz captured video,Video,
.pvr,Wintal PVR video,Video,
.cpvc,Adobe Captivate video composition,Video,
.mpeg4,MPEG-4 video,Video,
