Extension,Metadata,Category,MIME Type
.vmb,Quicken 2002 order data,"Accounting, financial, tax files",
.qml,Quicken DOS data file,"Accounting, financial, tax files",
.q43,Aqbanking Q43 file format,"Accounting, financial, tax files",
.tt12,TurboTax 2012 tax return,"Accounting, financial, tax files",
.pls,MYOB data,"Accounting, financial, tax files",application/pls+xml
.qbmb,QuickBooks backup file,"Accounting, financial, tax files",
.pr5,CheckMark Payroll distribution data,"Accounting, financial, tax files",
.quo,eSignal quote data,"Accounting, financial, tax files",
.qdt,Quicken data,"Accounting, financial, tax files",
.bd2,Lacerte Tax tax file,"Accounting, financial, tax files",
.say,Saya Matrix accounting database,"Accounting, financial, tax files",
.lld,Loan Level Disclosure data,"Accounting, financial, tax files",
.t08,TaxCut 2008 tax return data,"Accounting, financial, tax files",
.qby,Quickbooks Accountant's import data,"Accounting, financial, tax files",
.wac,WISCO Accounts storage,"Accounting, financial, tax files",
.gnc,GnuCash data,"Accounting, financial, tax files",
.ta5,TaxACT tax return form,"Accounting, financial, tax files",
.fcr,Cost report data,"Accounting, financial, tax files",
.tt13,TurboTax 2013 tax return file,"Accounting, financial, tax files",
.cpw,Online Cost Planning Service cost planning work data,"Accounting, financial, tax files",
.t05,TaxCut 2005 tax return data,"Accounting, financial, tax files",
.t02,TaxCut 2002 tax return data,"Accounting, financial, tax files",
.kd3,Yayoi Kaikei accounting data,"Accounting, financial, tax files",
.fef,Steuer2001 data,"Accounting, financial, tax files",
.tax2022,TurboTax 2022 tax return,"Accounting, financial, tax files",
.qpb,Quicken payroll data,"Accounting, financial, tax files",
.ta9,TaxACT tax document,"Accounting, financial, tax files",
.t06,TaxCut 2006 tax return,"Accounting, financial, tax files",
.qb2013,QuickBooks 2013 for Mac backup,"Accounting, financial, tax files",
.qmtf,Intuit Quicken data,"Accounting, financial, tax files",
.qfi,Quicken 2002 financial data,"Accounting, financial, tax files",
.sdy,StarMoney financial data,"Accounting, financial, tax files",
.oet,eSignal order entry ticket,"Accounting, financial, tax files",
.brw,Calyx Point data,"Accounting, financial, tax files",
.t01,TAXWIZ Deluxe tax data,"Accounting, financial, tax files",
.mrq,NETFILE tax data,"Accounting, financial, tax files",
.m11,Microsoft Money 2003 data,"Accounting, financial, tax files",
.h12,At Home 2012 tax return data,"Accounting, financial, tax files",
.nl2,eSignal market depth data,"Accounting, financial, tax files",
.ptk,Quicken Online data,"Accounting, financial, tax files",
.s12,WISO Steuer-Sparbuch 2012 data,"Accounting, financial, tax files",
.qmt,Quicken memory list file,"Accounting, financial, tax files",
.13t,Intuit Profile Premier data,"Accounting, financial, tax files",
.cf9,Cashflow Manager accounting data,"Accounting, financial, tax files",
.eqb,eSignal quote board data,"Accounting, financial, tax files",
.tt10,Intuit Turbotax 2010 tax return,"Accounting, financial, tax files",
.mne,Microsoft Money data,"Accounting, financial, tax files",
.chg,Quicken online data,"Accounting, financial, tax files",
.mn5,Microsoft Money 97 data,"Accounting, financial, tax files",
.qb2010,QuickBooks 2010 for Mac backup,"Accounting, financial, tax files",
.cfdi,Comprobante Fiscal Digital por Internetdata,"Accounting, financial, tax files",
.00c,ProFile 2000 autosave data,"Accounting, financial, tax files",
.pr0,CheckMark Payroll Software company information file,"Accounting, financial, tax files",
.u11,UFile 2011 tax return file,"Accounting, financial, tax files",
.t04,TaxCut 2004 tax return file,"Accounting, financial, tax files",
.bgt,Quicken 2002 internet common data,"Accounting, financial, tax files",
.quicken2016,Quicken for Mac 2016 financial data,"Accounting, financial, tax files",
.q07,QuickTax 2007 tax return data,"Accounting, financial, tax files",
.cf8,Cashflow Manager data,"Accounting, financial, tax files",
.qix,Quicken DOS data file,"Accounting, financial, tax files",
.qpi,Quicken for Windows version 3 financial data,"Accounting, financial, tax files",
.tax14,TurboTax 2014 tax return,"Accounting, financial, tax files",
.des,QuickBooks form design template,"Accounting, financial, tax files",
.mmm,Money Manager data,"Accounting, financial, tax files",
.mn9,Microsoft Money 2001 data,"Accounting, financial, tax files",
.09i,ProSeries Tax data,"Accounting, financial, tax files",
.exp,QuickBooks export,"Accounting, financial, tax files",
.qnx,Quicken index file,"Accounting, financial, tax files",
.u08,UFile data,"Accounting, financial, tax files",
.tb2,TASBooks accounting backup file,"Accounting, financial, tax files",
.q00,Quicken 2000 tax return,"Accounting, financial, tax files",
.10t,StudioTax income tax,"Accounting, financial, tax files",
.mn6,Microsoft Money 98 data file,"Accounting, financial, tax files",
.efw2,AccuWage W-2 form,"Accounting, financial, tax files",
.esk,eSignal scan,"Accounting, financial, tax files",
.btif,Bank image TIFF data,"Accounting, financial, tax files",image/prs.btif
.bd3,Lacerte Tax data,"Accounting, financial, tax files",
.qob,QuickBooks 2010 Pro data,"Accounting, financial, tax files",
.1pa,QuickBooks form,"Accounting, financial, tax files",
.mn7,Microsoft Money 99 data,"Accounting, financial, tax files",
.09t,StudioTax 2009 income tax,"Accounting, financial, tax files",
.skg,Skrooge data,"Accounting, financial, tax files",
.xic,DIF Freedom data,"Accounting, financial, tax files",
.ec8,Simplazz 1-2-3 accountant export,"Accounting, financial, tax files",
.t99,Kiplinger tax cut,"Accounting, financial, tax files",
.ldc,Steuer2001 data,"Accounting, financial, tax files",
.q98,Quicken 98 tax return,"Accounting, financial, tax files",
.q08,QuickTax 2008 tax return,"Accounting, financial, tax files",
.mql,MetaTrader indicator file,"Accounting, financial, tax files",
.s07,TaxCalc 2007 data,"Accounting, financial, tax files",
.ta2,TaxACT document,"Accounting, financial, tax files",
.ac2,Banana 4 accounting data,"Accounting, financial, tax files",
.vdf,VersaCheck database,"Accounting, financial, tax files",
.quicken2015,Quicken for Mac 2015 financial data,"Accounting, financial, tax files",
.ta4,TaxACT tax return form,"Accounting, financial, tax files",
.quicken2017,Quicken for Mac 2017 financial data,"Accounting, financial, tax files",
.tpl,Timeslips TSImport template,"Accounting, financial, tax files",application/vnd.groove-tool-template
.mn8,Microsoft Money 2000 data file,"Accounting, financial, tax files",
.i2b,Invoice2go product,"Accounting, financial, tax files",
.11t,StudioTax income tax data,"Accounting, financial, tax files",
.nni,ANNI information data,"Accounting, financial, tax files",
.q01,Quicken 2001 tax return,"Accounting, financial, tax files",
.07i,ProSeries tax data,"Accounting, financial, tax files",
.u10,UFile 2010 tax return file,"Accounting, financial, tax files",
.kb7,Kaikei accounting data,"Accounting, financial, tax files",
.t03,TaxCut 2003 tax return file,"Accounting, financial, tax files",
.lhr,Quicken Financial Life for Mac financial data,"Accounting, financial, tax files",
.mn4,Microsoft Money 95 data file,"Accounting, financial, tax files",
.qme,Quicken Win version 3 file,"Accounting, financial, tax files",
.ebc,CITE Control file,"Accounting, financial, tax files",
.q06,QuickTax 2006 accounting data,"Accounting, financial, tax files",
.pma,Payroll Mate file,"Accounting, financial, tax files",
.ab4,AB4 Accounting & Business data,"Accounting, financial, tax files",
.t07,TaxCut 2007 tax return file,"Accounting, financial, tax files",
.fa1,DATAIR FAS 87/132 reporter data,"Accounting, financial, tax files",
.zix,Quicken encrypted data,"Accounting, financial, tax files",
.kmy,KMyMoney data,"Accounting, financial, tax files",
.quickendata,Quicken Essentials for Mac financial data file,"Accounting, financial, tax files",
.gsb,Grisbi data,"Accounting, financial, tax files",
.stm,LloydsTSB bank statement data,"Accounting, financial, tax files",
.pfd,Personal Finances database,"Accounting, financial, tax files",
.sbf,SmartBroker data file,"Accounting, financial, tax files",
.bpf,Business Plan Pro cash compass table formatting data,"Accounting, financial, tax files",
.emp,Medlin Payroll Software employee data file,"Accounting, financial, tax files",
.q09,QuickTax 2009 tax return,"Accounting, financial, tax files",
.md,Moneydance financial data,"Accounting, financial, tax files",text/markdown
.tax17,TurboTax tax return 2017,"Accounting, financial, tax files",
.metastock,Metastock data file,"Accounting, financial, tax files",
.scd,TurboTax schedule descriptions data,"Accounting, financial, tax files",application/x-msschedule
.vbpf1,Virtual Business - Personal Finance data,"Accounting, financial, tax files",
.fyc,eSignal data,"Accounting, financial, tax files",
.qdfm,Quicken for Mac financial data,"Accounting, financial, tax files",
.m15,Microsoft Money 2006 data,"Accounting, financial, tax files",
.qb2006,QuickBooks 2006 for Mac backup,"Accounting, financial, tax files",
.fxw,eSignal data,"Accounting, financial, tax files",
.tkr,eSignal ticker data,"Accounting, financial, tax files",
.mwi,Medlin Payroll Software invoice layout information,"Accounting, financial, tax files",
.08i,QuickBooks return tax,"Accounting, financial, tax files",
.jsd,Jazer financial file,"Accounting, financial, tax files",
.cb,Cashbook Complete company data,"Accounting, financial, tax files",
.t23,H&R Block 2023 tax return,"Accounting, financial, tax files",
.qwmod,Quicken for Windows data,"Accounting, financial, tax files",
.hts,MetaTrader historical data,"Accounting, financial, tax files",
.acc,Graphic Accounts account data,"Accounting, financial, tax files",application/vnd.americandynamics.acc
.tax16,TurboTax tax return 2016,"Accounting, financial, tax files",
.sbd,Microsoft Office Accounting company data,"Accounting, financial, tax files",
.ebd,Empower business dashboard file,"Accounting, financial, tax files",
.flk,AccountEdge lock data,"Accounting, financial, tax files",
.kdt,Konami audio sequence,"Accounting, financial, tax files",
.qbz,Quick Trial Balance data,"Accounting, financial, tax files",
.ach,Medlin Payroll Software automated clearing house data,"Accounting, financial, tax files",
.seam,Sales report,"Accounting, financial, tax files",
.qbmd,QuickBooks backup,"Accounting, financial, tax files",
.xeq,Sage MAS 90 data,"Accounting, financial, tax files",
.qw5,Quicken Win version 5 financial data,"Accounting, financial, tax files",
.t01,TaxCut 2001 tax return data,"Accounting, financial, tax files",
.saf,SelfAccounts data,"Accounting, financial, tax files",application/vnd.yamaha.smaf-audio
.efs,eSignal formula script,"Accounting, financial, tax files",
.pxa,XpressAccounts data,"Accounting, financial, tax files",
.reb,Reimbursement Tracker data,"Accounting, financial, tax files",
.intu,Quicken for Mac data,"Accounting, financial, tax files",
.emp,eSignal market profile,"Accounting, financial, tax files",
.cdf,Nominal Small Business Accounting Software company data,"Accounting, financial, tax files",application/x-netcdf
.qb2009,QuickBooks 2009 for Mac backup,"Accounting, financial, tax files",
.fca,Cost report data,"Accounting, financial, tax files",
.qb2011,QuickBooks 2011 for Mac backup,"Accounting, financial, tax files",
.imp,Simple Accounting data,"Accounting, financial, tax files",application/vnd.accpac.simply.imp
.mn2,Microsoft Money version 2 data,"Accounting, financial, tax files",
.rec,Payroll Mate 2008 bank reconciliation data,"Accounting, financial, tax files",
.p07,2007 CANTAX T1 tax return,"Accounting, financial, tax files",
.efw2c,AccuWage W-2C form,"Accounting, financial, tax files",
.#vc,Big Fish ViewChoice data,"Accounting, financial, tax files",
.bpw,QuickBooks business planner data,"Accounting, financial, tax files",
.stx,StockChartX data,"Accounting, financial, tax files",
.ldr,eSignal hot list,"Accounting, financial, tax files",
.afm,Abassis data,"Accounting, financial, tax files",application/x-font-type1
.ess,eSignal symbol search,"Accounting, financial, tax files",
.mlc,MultiLedger ship to data,"Accounting, financial, tax files",
.aif,QuickBooks Accountant's Review copy data,"Accounting, financial, tax files",audio/aiff
.$ac,$&Sense data,"Accounting, financial, tax files",
.07g,ProSeries Tax data,"Accounting, financial, tax files",
.int?,Quicken for Mac data,"Accounting, financial, tax files",
.tax15,TurboTax tax return 2015,"Accounting, financial, tax files",
.cat,Quicken IntelliCharge categorization data,"Accounting, financial, tax files",application/vnd.ms-pki.seccat
.tax12,TurboTax 2012 tax return,"Accounting, financial, tax files",
.tax13,TurboTax tax return,"Accounting, financial, tax files",
.tt2013state,TurboTax 2013 state tax form,"Accounting, financial, tax files",
.ffd,Fortora Fresh Finance data,"Accounting, financial, tax files",
.rcs,SaralTDS eTDS software annual report,"Accounting, financial, tax files",
.d07,DeductionPro 2007 data,"Accounting, financial, tax files",
.vyr,JAPO data,"Accounting, financial, tax files",
.qb2012,QuickBooks 2012 for Mac backup,"Accounting, financial, tax files",
.qb2005,QuickBooks 2005 for Mac backup,"Accounting, financial, tax files",
.tt2017state,TurboTax 2017 state tax form,"Accounting, financial, tax files",
.cus,Medlin Payroll Software customer data file,"Accounting, financial, tax files",
.ent,eSignal NewsManager file,"Accounting, financial, tax files",
.tt2016state,TurboTax 2016 state tax form,"Accounting, financial, tax files",
.ml2,MultiLedger budget data,"Accounting, financial, tax files",
.sbc,Microsoft Office Accounting company shortcut,"Accounting, financial, tax files",
.dbat,Quicken for Mac data,"Accounting, financial, tax files",
.rec,Medlin Payroll Software bank reconciliation data,"Accounting, financial, tax files",
.fa2,DATAIR FAS 87/132 reporter custom text,"Accounting, financial, tax files",
.qem,ExpensAble report,"Accounting, financial, tax files",
.dtl,eSignal file,"Accounting, financial, tax files",
.qdfx,Quicken Essentials for Mac financial data exchange format,"Accounting, financial, tax files",
.cus,Payroll Mate customer data,"Accounting, financial, tax files",
.jsda,Jazer financial data,"Accounting, financial, tax files",
.inv,Medlin Payroll Software current year checks and invoices,"Accounting, financial, tax files",
.coa,Medlin Payroll Software chart,"Accounting, financial, tax files",
.tdr,Medlin Payroll Software tax deposit record file,"Accounting, financial, tax files",
.pg,eSignal page file,"Accounting, financial, tax files",
.mem,Medlin Payroll Software additional vendor data file,"Accounting, financial, tax files",
.mn3,Microsoft Money version 3 data,"Accounting, financial, tax files",
.fcpa,Officer cost report data file,"Accounting, financial, tax files",
.tt2015state,TurboTax 2015 state tax form,"Accounting, financial, tax files",
.omf,"OMF Operation, Management & Finance database file","Accounting, financial, tax files",
.acm,eSignal file,"Accounting, financial, tax files",
.bk2,Cashbook Complete data,"Accounting, financial, tax files",
.stc,eSignal stretch chart,"Accounting, financial, tax files",application/vnd.sun.xml.calc.template
.cht,eSignal data,"Accounting, financial, tax files",
.qb2007,QuickBooks 2007 for Mac backup,"Accounting, financial, tax files",
.moneywell,MoneyWell financial data file,"Accounting, financial, tax files",
.bgt,Graphic Accounts budget data,"Accounting, financial, tax files",
.ach,eSignal file,"Accounting, financial, tax files",
.ch,eSignal file,"Accounting, financial, tax files",
.efslib,eSignal EFS function library file,"Accounting, financial, tax files",
.fcpr,Officer cost report data file,"Accounting, financial, tax files",
.dtaus,DatenTrägerAustausch data,"Accounting, financial, tax files",
.acr,Medlin Payroll Software accrual method adjustments / unpaid invoices file,"Accounting, financial, tax files",
.p08,SApartnership2008 file,"Accounting, financial, tax files",
.ml9,MultiLedger transactions,"Accounting, financial, tax files",
.rda,Ready Ace accounting data,"Accounting, financial, tax files",
.resx,Payroll Mate file,"Accounting, financial, tax files",
.gfi,General Index of Financial Information,"Accounting, financial, tax files",
.qdlx,Quicken for Mac data file,"Accounting, financial, tax files",
.trm,eSignal Trade Manager file,"Accounting, financial, tax files",application/x-msterminal
.ens,eSignal NewsManager preview file,"Accounting, financial, tax files",
.pcif,PayCycle data,"Accounting, financial, tax files",
.qdt,QuickBooks UK accountancy data,"Accounting, financial, tax files",
.lin,Medlin Payroll Software current period invoice detail,"Accounting, financial, tax files",
.h11,At Home 2011 tax return,"Accounting, financial, tax files",
.3pe,TurboTax 2008 form,"Accounting, financial, tax files",
.zka,Quicken Win version 6 file,"Accounting, financial, tax files",
.des,Medlin Payroll Software sales code information file,"Accounting, financial, tax files",
.3me,TurboTax form,"Accounting, financial, tax files",
.tax08,TurboTax 2008 tax return file,"Accounting, financial, tax files",
.hbk,Humanic Software accounting data file,"Accounting, financial, tax files",
.qb2008,Quickbook 2008 for Mac backup,"Accounting, financial, tax files",
.tt2012state,TurboTax 2012 state tax form,"Accounting, financial, tax files",
.ddd,Payroll Mate 2008 direct deposit file file,"Accounting, financial, tax files",application/vnd.fujixerox.ddd
.por,eSignal portfolio file,"Accounting, financial, tax files",
.pr1,CheckMark Payroll Software employees file,"Accounting, financial, tax files",
.stm,Medlin Payroll Software statement layout,"Accounting, financial, tax files",
.mlb,MultiLedger ship via file,"Accounting, financial, tax files",
.trn,Medlin Payroll Software current year transactions file,"Accounting, financial, tax files",
.pr4,CheckMark Payroll Software employer checks file,"Accounting, financial, tax files",
.tax10,TurboTax 2010 tax return,"Accounting, financial, tax files",
.h10,At Home Canada 2010 tax return,"Accounting, financial, tax files",
.pr3,CheckMark Payroll Software employer payees file,"Accounting, financial, tax files",
.emd,eSignal market depth file,"Accounting, financial, tax files",
.tt2014state,TurboTax 2014 state tax form,"Accounting, financial, tax files",
.tax11,TurboTax 2011 tax return,"Accounting, financial, tax files",
.ddd,Medlin Payroll Software direct deposit information file,"Accounting, financial, tax files",application/vnd.fujixerox.ddd
.pr2,CheckMark Payroll Software employee checks file,"Accounting, financial, tax files",
.tax09,TurboTax 2009 tax return file,"Accounting, financial, tax files",
.dsb,eSignal file,"Accounting, financial, tax files",
.mws,Medlin Payroll Software statement layout information file,"Accounting, financial, tax files",
.tax2023,TurboTax 2023 tax return,"Accounting, financial, tax files",
.t19,H&R Block 2019 tax return,"Accounting, financial, tax files",
.t20,H&R Block 2020 tax return,"Accounting, financial, tax files",
.csi,Challan Status Inquiry,"Accounting, financial, tax files",
.tax2024,TurboTax 2024 tax return,"Accounting, financial, tax files",
.db,Generic database,Database,application/x-sqlite3
.accdb,Microsoft Access main database,Database,
.csv,Comma Separated Value file,Database,text/csv
.mdb,Microsoft Access database,Database,application/x-msaccess
.fdb,Firebird database,Database,
.gdb,Database file,Database,
.xml,XML document,Database,application/xml
.fp3,FileMaker Pro database,Database,
.sdf,SQL Server compact edition database,Database,
.db-journal,SQLite database journal file,Database,
.ibd,MySQL InnoDB database table,Database,
.sql,Structured Query Language Data SQL data,Database,
.wdb,Microsoft Works database,Database,application/vnd.ms-works
.myd,MySQL database data,Database,
.dbf,Common database,Database,
.sqlite,SQLite database,Database,application/x-sqlite3
.sl2,SQLite 2.0 database,Database,
.idx,Index file,Database,
.sdb,OpenOffice Base database,Database,
.cdb,CardScan card database,Database,
.str,dBase structure list object,Database,application/vnd.pg.format
.db3,SQLite database,Database,
.mde,Microsoft Access compiled database (application),Database,
.edb,Microsoft Windows Extensible Storage Engine database,Database,
.s3db,SQLite 3.0 database,Database,
.iqy,Microsoft Excel Internet query,Database,
.fmp12,FileMaker Pro database,Database,
.wbd,Microsoft Works database,Database,
.dbs,SQL Structured Query Language database command data,Database,
.crp,dBASE IV encrypted database,Database,
.ldb,Google LevelDB database,Database,
.pdm,PowerDesigner database,Database,
.tdb,SlamDB database,Database,
.mdf,Microsoft SQL Server master database file format,Database,
.jet,Microsoft JET database,Database,
.adb,Ability Database database,Database,
.fdb,FoxPro database,Database,
.mdt,Microsoft Access database template,Database,
.fp7,FileMaker Pro database,Database,
.ecsv,Encapsulated Comma Separated Value file,Database,
.fm,FileMaker Pro database,Database,application/vnd.framemaker
.db,Corel Paradox database,Database,application/x-sqlite3
.fmt,Database format,Database,
.accdr,Microsoft Access runtime mode database,Database,
.sl3,SQLite 3.0 database,Database,
.db,Windows thumbnail database,Database,application/x-sqlite3
.isam,ISAM database,Database,
.kdb,KeePass encrypted passwords database,Database,
.rpd,Ashton Tate Rapidfile database,Database,
.nwdb,NeatReceipts database,Database,
.fp5,FileMaker Pro database,Database,
.ipdb,IP Address Tracker IP database,Database,
.ffs_db,FreeFileSync database,Database,
.odb,Apache OpenOffice OpenDocument database,Database,application/vnd.oasis.opendocument.database
.sq3,oml2-server database,Database,
.nx1,NexusDB database,Database,
.psafe3,Password Safe database,Database,
.ib,InterBase database,Database,
.db2,dBASE II database,Database,
.dbr,DB/TextWorks database,Database,
.accdt,Microsoft Access database template,Database,
.db4,dBASE IV data,Database,
.tcf,Clarion topspeed transaction control data,Database,
.eco,ECCO database,Database,
.sqlite3,SQLite 3 database,Database,application/x-sqlite3
.vdb3,VistaDB database,Database,
.pdt,ProCite database,Database,
.adt,Lingvo dictionary,Database,
.pdb,Palm OS database or e-book,Database,application/vnd.palm
.s2db,SQLite 2.0 database,Database,
.ntf,Lotus Notes database template,Database,
.bqy,BrioQuery database,Database,
.dnl,Concordance database,Database,
.jds,JDataStore database,Database,
.mdbx,Microsoft Access based database,Database,
.ldb,RPG Maker 2000/2003 database,Database,
.al,Oracle Files data,Database,
.htri,HTRI Xchanger Suite data input,Database,
.v12,All The Right Type database,Database,
.mjs,Mijas 7400 costing database,Database,
.mtw,TRADOS MultiTerm termbase,Database,
.db,ArcView object database,Database,application/x-sqlite3
.sir,SIR (Scientific Information Retrieval) database,Database,
.d1,Progress database,Database,
.dbc,Microsoft Visual FoxPro database,Database,
.db,Microsoft Works data,Database,application/x-sqlite3
.vdb,VistaDB database file,Database,
.dba,Turbo Prolog database,Database,
.ibz,MySQL InnoDB database table compressed backup,Database,
.prjx,SharpDevelop project database,Database,
.sqlitedb,SQLite database,Database,
.accdc,Microsoft Access digitally signed database,Database,
.ecfg,ESRI XML zipped database,Database,
.cma,Applix TM1 database,Database,
.pwbk,Keygen database,Database,
.fw3,FrameWork III database,Database,
.mtn,Match! database,Database,
.fw2,FrameWork database,Database,
.f2b,ProntoGERBER-CONNECTION board database,Database,
.wtd,Wintune document,Database,
.nsg,Lotus Notes database file,Database,
.teacher,Senteo teacher database,Database,application/vnd.smart.teacher
.accft,Microsoft Access database template,Database,
.qbquery,MySQL Query Browser saved SQL query command data,Database,
.pan,Panorama database file,Database,
.k01,Clarion database key,Database,
.ain,ArcView attribute index,Database,
.dsdb,ANSYS CFX simulation database,Database,
.mgn,Modern Genealogy database,Database,
.orx,RadiantOne Virtual Directory Server database schema,Database,
.nsh,Lotus Notes database,Database,
.skc,SideKick for Windows database,Database,
.ctf,WhereIsIt catalog file,Database,
.gpk,GEOPAK coordinated geometry database file,Database,
.bbt,BTwin local database,Database,
.qdc,Quick-Devis database,Database,
.mcdb,Adobe media cache database file,Database,
.rdb,Redis database,Database,
.odn,Fluke Power Analyze database,Database,
.sbf,Superbase database,Database,
.t2d,Oracle Technology Transfer Database,Database,
.mav,Microsoft Access view data,Database,
.wd3,Offline Explorer directory index,Database,
.xss,Microsoft SharePoint WorkSpace Groove database,Database,
.lcr,NEC Electra Elite LCR customer database,Database,
.tmz,Medigraph compressed database,Database,
.thumbindex,Motorola Media Finder thumbnail index,Database,
.asdb,Active-HDL accelerated waveform,Database,
.cep,CostOS Estimating project database,Database,
.sdb,Autodesk survey database,Database,
.lfp,IPRO View database,Database,
.vpdb,VIP Organizer information database,Database,
.osi,Osiris database,Database,
.mcsv,TouchGraph Navigator MCSV data,Database,
.dbf,CLIPPER database,Database,
.dxi,PayWindow database,Database,
.dbs,SQLBase database,Database,
.pdb,Microsoft Linker input database file,Database,application/vnd.palm
.d2,Progress database,Database,
.event,Corel catalog file,Database,
.rln,Alpha Four database,Database,
.tst,LinkWare test database,Database,
.pdbx,Martini personal database,Database,
.usr,FileMaker Pro runtime engine database application,Database,
.dcx,Microsoft Visual FoxPro database container (DBC),Database,
.m4t,Sage MAS 90 table,Database,
.sds,Smart Diary Suite main database,Database,
.dbw,DataBoss database,Database,
.ato,ATO modeler project,Database,
.epd,ChessDB Extended Position Description file,Database,
.accdw,Microsoft Access link,Database,
.jz,JamesZhu Internet Browser database,Database,
.esb,es-Builder database,Database,
.occ,DB/TextWorks Terms and Words database,Database,
.csq,Microsoft FoxPro queries data,Database,
.vsr,Microsoft Access report,Database,
.dnc,Microsoft Windows XP Dancers dancer database file,Database,
.dct,Microsoft Visual FoxPro database container memo file,Database,
.4dc,4th Dimension compiled structure data,Database,
.accdu,Microsoft Access database wizard,Database,
.azz,AZZ Cardfile information card,Database,
.iw,Chain engineering database,Database,
.abcdmr,Apple Address Book mail recent data,Database,
.oif,QuickBase web-sharable database interchange data,Database,
.ae1,FileMaker Pro runtime database file,Database,
.adt,Advantage Database Server database,Database,
.foc,FOCUS database,Database,
.cdb,Pocket Access database,Database,
.dql,DataEase database,Database,
.i,Progress database include file,Database,
.f4x,Adobe HTTP Dynamic Streaming index file,Database,
.cdx,Database compound index,Database,chemical/x-cdx
.bxd,Broken Cross Disk Manager database,Database,
.dta,Chain engineering database,Database,
.bdb,Blaise database,Database,
.indx,Microsoft Mail index file,Database,
.ixl,DB/TextWorks database indexed list,Database,
.4db,4D Database structure data,Database,
.muc,Music Collector collection data,Database,
.bw1,FMEA database file,Database,
.ndk,Lotus Notes database design elements,Database,
.k9,DataFlex index file,Database,
.df2,Omnis7 and Omnis Studio database file format,Database,
.icg,Image Comparer results file,Database,
.cka,Comfort Keys database,Database,
.dat,SWAT database,Database,
.ddr,FileMaker Pro database design report,Database,
.qmf,IBM Lotus Approach database query,Database,
.sd2,Base SAS database,Database,
.mshi,Microsoft Help index file,Database,
.aqc,AquaChem database,Database,
.ecx,ECCO Pro damaged database,Database,
.sdb,MonKey Office SQLite database,Database,
.fbd,CADfix geometry database,Database,
.nfo,Folio infobase data,Database,
.fmpsl,FileMaker Pro 12 database snapshot,Database,
.fmp,Filemaker Pro database,Database,
.ccf,Cumulus database file,Database,
.dbf,iAnywhere database,Database,
.lnk,Advanced Revelation database,Database,
.rrd,RRDtool Round-Robin database,Database,
.nx2,NexusDB database file,Database,
.w5s,Winamp CDDB database file,Database,
.sidx,SharpMap spatial index file,Database,
.k10,DataFlex index,Database,
.marshal,Marshal Editor data migration model,Database,
.ljb,Lightjockey database,Database,
.dcb,Concordance Database Control Block data,Database,
.c2e,Chinese dictionary index file,Database,
.mdn,Microsoft Access blank database template file,Database,
.ns2,Lotus Notes database,Database,
.dbf,dBASE III/IV database,Database,
.btree,Apple Mac OS HFS+ b-tree data,Database,
.k6,DataFlex index,Database,
.ix2,Rebel chess program database,Database,
.tk4,Wintec Time Machine X database,Database,
.b2,Progress database,Database,
.od2,Omnis 5 database,Database,
.mxf,Microsoft Windows Media Center program guide list,Database,application/mxf
.rqy,Microsoft Excel OLE DB query,Database,
.tbm,DB/TextWorks database menu screen,Database,
.iflv,InfoLevin database,Database,
.sr4,SIR database,Database,
.ldb,VisiTrax music library database,Database,
.awbs,Automated Weight and Balance System data storage,Database,
.csd,MSDS Safety Data Sheet database,Database,
.devx,e-sword devotional file,Database,
.thumbsdb,PixFiler thumbnail database,Database,
.rsdb,Resort Software database,Database,
.olk14dbheader,Microsoft Outlook 2011 for Mac database,Database,
.ind,Index file,Database,
.~ap,Borland C++ old AppExpert project database file,Database,
.p96,Win96 database,Database,
.mrd,SILVERRUN RDM database schema,Database,
.ctv,Citavi project,Database,
.ozp,Sharp Organizer telephone bank data,Database,
.adi,Advantage Database Server index,Database,
.tab,Tab separated value,Database,
.od1,Omnis 5 database,Database,
.qpr,FoxPro database query,Database,
.k8,DataFlex index file,Database,
.df4,Omnis Studio database file format,Database,
.cdx,MicroStation cell library index,Database,chemical/x-cdx
.bpd,Büro Plus NexT FlashFiler database,Database,
.acad,AutoCAD database,Database,
.mdc,Cognons Powerplay Power Cube database,Database,
.bfi,Blaise index,Database,
.sg3,ChessDB game data,Database,
.syncdb-journal,SQLite data,Database,
.ai,Progress database after image,Database,application/postscript
.k13,DataFlex index,Database,
.dss,HEC-DSS hydrologic database,Database,
.zpi,Nuance PDF Converter index,Database,
.tmdb,TaskMerlin database,Database,
.vdf,Visionary Deposition Viewer database,Database,
.mmo,HyperFile database file,Database,
.sd4,Smart Diary Suite database,Database,
.tdb,TACT database,Database,
.p,Progress Database procedure data,Database,text/x-pascal
.sqlite2,SQLite 2.0 database,Database,
.yma,YMAG Center Data Exchange database,Database,
.axp,AXP database,Database,
.sdb,SparkleDB NoSQL database,Database,
.lutx,RadioRA Essentials database file,Database,
.vfa,FontLab database file,Database,
.ckz,QuickSFV file verification database,Database,
.cat,dBASE backup catalog,Database,application/vnd.ms-pki.seccat
.rmd,Reference Manager database file,Database,
.fgr,FRSGiftRegistry database,Database,
.000,Advanced Revelation database,Database,
.abi,ABI trace data,Database,
.daschema,Data Abstract database schema,Database,
.rfl,Guardian database roll-forward file,Database,
.db,SmartWare data,Database,application/x-sqlite3
.rin,Retrieve 4GL database index,Database,
.mtc,MediaTracker database file,Database,
.rfh,RFG Integrator householding database,Database,
