Description,Extension,Category,MIME type,,,,,
Audioless H.264 video data,.h64,Video,video/h264,,,,,
Microsoft 3D Movie Maker recorded video,.nmm,Video,application/octet-stream,,,,,
Multiplexed MPEG-1/2 stream,.mpeg2,Video,video/mpeg,,,,,
X-Driven DRS-1100 recorded video file,.ub1,Video,application/octet-stream,,,,,
AVI movie,.vmlf,Video,application/octet-stream,,,,,
VP9 video,.vp9,Video,video/dv,,,,,
DVM Movie File Format,.dvm,Video,video/dv,,,,,
ARMovie video,.rpl,Video,application/octet-stream,,,,,
Fujifilm video,.dscf,Video,application/octet-stream,,,,,
MPEG-2 stream (Blu-Ray),.m2ts,Video,video/mp2t,,,,,
Panasonic camera security recording,.h3r,Video,application/octet-stream,,,,,
FluxTime Studio clip,.flux,Video,application/octet-stream,,,,,
Walker File format video,.rec_part0,Video,application/octet-stream,,,,,
REDCODE multimedia data,.r3d,Video,video/x-redcode-r3d,,,,,
AMS shared project,.apz,Video,application/octet-stream,,,,,
MPEG-1 audio and video file system stream,.mps,Video,application/octet-stream,,,,,
Destiny MPE Encoder encrypted portable media,.epm,Video,application/octet-stream,,,,,
OTRKEY encoded video,.otrkey,Video,application/octet-stream,,,,,
MTV video format,.mtv,Video,video/x-mtv,,,,,
RealMedia multimedia,.rm,Video,application/vnd.rn-realmedia,,,,,
Security camera video,.g64,Video,video/g64,,,,,
Panasonic WJ-RT416 video recording,.rt4,Video,application/octet-stream,,,,,
JPEG 2000 motion sequence format (ISO 15444-3),.mj2,Video,video/mj2,,,,,
Roxio Creator MyDVD DVD project,.dmsd,Video,application/octet-stream,,,,,
Apple QuickTime movie,.movie,Video,video/x-sgi-movie,,,,,
Morae recorded video file,.rdg,Video,application/rdg,,,,,
ScreenFlow screen recording,.scc,Video,application/x-scc,,,,,
YUV4MPEG2 video,.y4m,Video,video/mp4,,,,,
MPEG-4 video file format,.mpg4,Video,audio/mp4,,,,,
3GPP Third generation partnership project movie,.3gpp,Video,application/octet-stream,,,,,
Unicenter Remote Control data,.urc,Video,application/octet-stream,,,,,
Microsoft Lync 2010 record,.crec,Video,video/vnd.fvt,,,,,
Eyemail ETI Camcorder Pro video data,.eye,Video,application/x-finalcutproproject,,,,,
iMovie project,.rcproject,Video,video/vnd.rn-realvideo,,,,,
RealVideo video,.rv,Video,application/octet-stream,,,,,
Roxio Creator VideoWave movie project,.dmsm,Video,application/octet-stream,,,,,
MicroMV movie,.mmv,Video,video/mpv,,,,,
MPEG 1 video,.mpv,Video,application/octet-stream,,,,,
Digital Juice animation data,.djanimations,Video,video/mpeg,,,,,
MPEG-2 video data,.mpgv,Video,application/octet-stream,,,,,
GoToMeeting video,.prel,Video,application/octet-stream,,,,,
Adobe Premiere Elements project,.prel,Video,video/mpeg,,,,,
Advanced Streaming Format,.mvc,Video,video/mpeg,,,,,
Multiview Video Coding video,.mvc,Video,application/octet-stream,,,,,
Thin Client Media-3 encoded video,.tmi,Video,video/mxv,,,,,
MAGIX Movie Edit Pro video,.mxv,Video,application/octet-stream,,,,,
Wondershare Filmora project,.wsve,Video,application/vnd.wap.slc,,,,,
AT&T U-verse recorded video,.slc,Video,application/octet-stream,,,,,
Haihaisoft DRM-X protected video,.hup,Video,video/x-f4v,,,,,
Adobe Flash mp4 multimedia,.f4v,Video,video/mpeg,,,,,
MPEG video,.mpgx,Video,application/octet-stream,,,,,
Warez movie,.rargb,Video,video/x-ms-dvr,,,,,
Microsoft Digital Video Recording,.dvr-ms,Video,video/x-jmf,,,,,
Java Media Framework data,.jmf,Video,application/x-director,,,,,
Adobe Shockwave 3D scene export,.w3d,Video,application/x-pmf,,,,,
Sony PlayStation PSP movie,.pmf,Video,application/octet-stream,,,,,
iPIX interactive pictures format,.aut,Video,video/quicktime,,,,,
Apple QuickTime movie clip,.qt,Video,application/octet-stream,,,,,
REI Camera System video format,.m65,Video,application/vnd.pocketpccamera,,,,,
Adobe Premiere 6 and older video project,.ppj,Video,application/postscript,,,,,
MPEG program stream format,.ps,Video,video/mpeg,,,,,
MPC-HC mpeg video,.mv2,Video,application/octet-stream,,,,,
Adobe Flash component distribution data,.swc,Video,application/octet-stream,,,,,
MSN Webcam Recorder video file,.ml20,Video,application/octet-stream,,,,,
VideoPad video,.vpg,Video,application/x-finalcutproproject,,,,,
Final Cut Pro project,.fcp,Video,application/octet-stream,,,,,
MPEG-2 video,.ts4,Video,application/octet-stream,,,,,
Pegasys video,.pgmx,Video,application/octet-stream,,,,,
FreeSWITCH video data,.fsv,Video,application/octet-stream,,,,,
Warez movie,.jyk,Video,video/x-sgi-movie,,,,,
IRIX command compressed movie,.mv,Video,application/octet-stream,,,,,
FCEUX movie,.fm2,Video,application/octet-stream,,,,,
Mistaken M2TS video,.bdav,Video,video/mp4,,,,,
MPEG-4 video file format,.mp4;v=1,Video,video/x-eva,,,,,
MSX video,.eva,Video,video/x-seq,,,,,
Norpix StreamPix video sequence,.seq,Video,application/octet-stream,,,,,
Apple ProRes 422 HQ video,.hq,Video,application/octet-stream,,,,,
Adobe Flash Player signed RSL data,.swz,Video,video/mp2t,,,,,
Blu-ray information,.bdmv,Video,application/octet-stream,,,,,
Arcsoft Showbiz captured video,.tms,Video,application/octet-stream,,,,,
Wintal PVR video,.pvr,Video,application/octet-stream,,,,,
Adobe Captivate video composition,.cpvc,Video,video/mp4,,,,,
MPEG-4 video,.mpeg4,Video,video/mj2,,,,,
JPEG 2000 motion sequence format (ISO 15444-3),.mjp2,Video,application/octet-stream,,,,,
Electronic Arts video data,.tgv,Video,application/octet-stream,,,,,
Microsoft 3D Movie Maker video,.3mm,Video,application/octet-stream,,,,,
Global Mobile Media media data,.gmm,Video,application/octet-stream,,,,,
CaptiveWorks PVR video recording format,.gts,Video,application/octet-stream,,,,,
Sony unfinished video recording,.rsv,Video,video/x-dv,,,,,
Digital video file,.dv,Video,application/octet-stream,,,,,
MAGIX Movie Edit Pro video data,.avd,Video,video/mpeg,,,,,
Moving Pictures Experts Group video (MPEG-1 IPB),.m1v,Video,application/octet-stream,,,,,
WinCAPs subtitles,.w32,Video,video/vnd.radgametools.bink,,,,,
MAGIX Video easy project,.mvy,Video,application/octet-stream,,,,,
Sony VDU file format importer,.dlx,Video,application/octet-stream,,,,,
Clipstream 32 Kb stream,0.44,Video,video/x-fli,,,,,
Autodesk Animator FLIC animation (old format),.fli,Video,video/divx,,,,,
DivX Media Format,.divx,Video,video/flc,,,,,
AutoDesk FLIC format,.flc,Video,video/x-la-asf,,,,,
Advanced Streaming Redirector,.lsx,Video,audio/x-realaudio,,,,,
RealMedia streaming data,.rax,Video,video/ogg,,,,,
Ogg Vorbis media,.ogm,Video,application/octet-stream,,,,,
Interactive Visual Media video format,.ivm,Video,application/octet-stream,,,,,
Movie Edit Pro video file,.mvd,Video,video/mpeg,,,,,
MPEG program stream format,.mpegps,Video,application/octet-stream,,,,,
PCSX Rerecording captured movie,.pxm,Video,application/octet-stream,,,,,
DVD2AVI mpeg2 data,.dtv,Video,application/octet-stream,,,,,
AVC Blu-ray video format,.bsf,Video,application/octet-stream,,,,,
aTube Catcher video data,.video,Video,video/x-ms-wtv,,,,,
Windows Media Center TV recording,.wtv,Video,application/octet-stream,,,,,
Movavi Video Editor project (version 10 or older),.mep,Video,application/octet-stream,,,,,
Houdini movie file,.hmv,Video,application/octet-stream,,,,,
Opus Creator multimedia data,.ilm,Video,video/mpeg,,,,,
MPEG-2 packetized elementary stream,.m2v,Video,application/octet-stream,,,,,
CCTV video clip,.60d,Video,application/octet-stream,,,,,
Surveillance video file,.iva,Video,application/octet-stream,,,,,
Microsoft Xbox video data,.xmv,Video,application/octet-stream,,,,,
LucasArts Smush Animation Format,.san,Video,application/octet-stream,,,,,
TiVo video stream,.ty,Video,video/mpeg,,,,,
MPEG-2 video,.mpg2,Video,application/octet-stream,,,,,
RCA digital recorder format,.rca,Video,application/octet-stream,,,,,
H.263 encoded video,0.263,Video,application/octet-stream,,,,,
RealAudio standard streaming metafile,.ssm,Video,application/octet-stream,,,,,
Mac Video file,.mcv,Video,application/octet-stream,,,,,
EDIUS Pro project,.epj,Video,application/octet-stream,,,,,
HyperTRANSCRIBE project,.htd,Video,application/octet-stream,,,,,
Walker File format video data,.rec_part1,Video,application/octet-stream,,,,,
PHOTOfunSTUDIO HD video data,.iis,Video,video/quicktime,,,,,
Sony Movie Player file format,.mqv,Video,video/webm,,,,,
VP8 video codec video,.vp8,Video,application/octet-stream,,,,,
NewTek uncompressed video data,.rtv,Video,application/octet-stream,,,,,
Roxio Video CD layout,.vcl,Video,application/octet-stream,,,,,
Mobile DJ video data,.kmv,Video,application/octet-stream,,,,,
muvee project,.rvl,Video,application/octet-stream,,,,,
SWF to EXE Converter project,.s2e,Video,video/mjpeg,,,,,
M-JPEG data,.m-jpeg,Video,application/octet-stream,,,,,
Roxio Creator VideoWave slideshow project,.dmss,Video,video/x-smv,,,,,
VideoLink saved mail video,.smv,Video,application/octet-stream,,,,,
ratDVD commpressed DVD movie,.ratDVD,Video,application/octet-stream,,,,,
Integral video data,.xpv,Video,application/octet-stream,,,,,
Media Player Classic's playlist,.mpcpl,Video,application/octet-stream,,,,,
cVideo data,.cvc,Video,application/octet-stream,,,,,
GANZ video compression data,0.603,Video,video/h263,,,,,
H.263 video format,.h263,Video,application/octet-stream,,,,,
Movavi Video Editor project (version 23 or above),.mepj,Video,application/octet-stream,,,,,
