Description,Extension,Category,MIME type,,,,,
Navicat database exported connection settings,.ncx,"Settings, options, themes and skins",Unknown,,,,,
AVS Barcode profile,.abp,"Settings, options, themes and skins",Unknown,,,,,
NI TestStand workspace,.tsw,"Settings, options, themes and skins",Unknown,,,,,
ControlDraw user requirement specifier,.urs,"Settings, options, themes and skins",Unknown,,,,,
AVG Internet Security user interface settings,.avgfv,"Settings, options, themes and skins",Unknown,,,,,
Sothink DHTML menu,.pgt,"Settings, options, themes and skins",Unknown,,,,,
Creston 2 - Series control systems update data,.csu,"Settings, options, themes and skins",Unknown,,,,,
BeamNG vehicle definition format,.jbeam,"Settings, options, themes and skins",Unknown,,,,,
Adobe Photoshop custom toolbar preset,.tbr,"Settings, options, themes and skins",Unknown,,,,,
Delphi user-specific project options,.local,"Settings, options, themes and skins",Unknown,,,,,
Canon My Image Garden background preset,.bg,"Settings, options, themes and skins",Unknown,,,,,
Spybot exclude data,.sbe,"Settings, options, themes and skins",Unknown,,,,,
Adobe Reader font mapping file,.xci,"Settings, options, themes and skins",Unknown,,,,,
Adobe After Effects stabilizer settings,.aes,"Settings, options, themes and skins",Unknown,,,,,
TextPad syntax definition,.syn,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Keyboard Layout Creator keyboard data,.klc,"Settings, options, themes and skins",Unknown,,,,,
BitTorrent Search Engine Specification data,.btsearch,"Settings, options, themes and skins",Unknown,,,,,
Winstep Xtreme theme pack,.xtreme,"Settings, options, themes and skins",Unknown,,,,,
F-Secure default policy settings,.dpf,"Settings, options, themes and skins",application/x-shockwave-flash,,,,,
Microsoft Sidewinder profile activator data,.swf,"Settings, options, themes and skins",Unknown,,,,,
Microsoft backup file list,.ful,"Settings, options, themes and skins",Unknown,,,,,
Spybot - Search & Destroy includes,.uti,"Settings, options, themes and skins",Unknown,,,,,
QWS3270 PLUS session parameter data,.jgp,"Settings, options, themes and skins",Unknown,,,,,
EaseUS Todo Backup record,.cbm,"Settings, options, themes and skins",Unknown,,,,,
JAWS ini data,.jff,"Settings, options, themes and skins",application/vnd.groove-tool-template,,,,,
Adobe Photoshop tool preset,.tpl,"Settings, options, themes and skins",Unknown,,,,,
Desk Link data,.desklink,"Settings, options, themes and skins",Unknown,,,,,
XnView filter settings,.hfp,"Settings, options, themes and skins",Unknown,,,,,
Winamp ZIP compressed skin,.wsz,"Settings, options, themes and skins",Unknown,,,,,
Cubase preset,.vstpreset,"Settings, options, themes and skins",Unknown,,,,,
Keyboard layout,.kbl,"Settings, options, themes and skins",Unknown,,,,,
LabVIEW palette,.mnu,"Settings, options, themes and skins",Unknown,,,,,
Calendar Commander version 1 event,.ev1,"Settings, options, themes and skins",Unknown,,,,,
Symantec Backup Exec system index,.sv2i,"Settings, options, themes and skins",Unknown,,,,,
DataLink settings data,.apxt,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Visual Studio Visual C++ project,.vcp,"Settings, options, themes and skins",Unknown,,,,,
KMPlayer playlist,.kpl,"Settings, options, themes and skins",application/vnd.acucorp,,,,,
AutoCAD catalog,.atc,"Settings, options, themes and skins",Unknown,,,,,
Eclipse plugin descriptor file,.apd,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Data Link,.udl,"Settings, options, themes and skins",Unknown,,,,,
Flitskikker language localization data,.fpl,"Settings, options, themes and skins",Unknown,,,,,
Timeless Time & Expense multi-user settings,.tms,"Settings, options, themes and skins",Unknown,,,,,
UTHSCSA Image Tool calibration data,.itc,"Settings, options, themes and skins",audio/x-ms-wax,,,,,
Windows Media Audio redirector,.wax,"Settings, options, themes and skins",Unknown,,,,,
Ableton Live Massive plugin preset,.nmsv,"Settings, options, themes and skins",Unknown,,,,,
RealView Development Suite debugger properties,.rbe,"Settings, options, themes and skins",Unknown,,,,,
OtsTurntables playlist,.ofl,"Settings, options, themes and skins",Unknown,,,,,
Unix IContact parameter data,.icp,"Settings, options, themes and skins",Unknown,,,,,
Autodesk AutoCAD custom user interface,.cuix,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Outlook bar-shortcut,.fav,"Settings, options, themes and skins",Unknown,,,,,
Microsoft AutoRoute user information,.arv,"Settings, options, themes and skins",Unknown,,,,,
Canon settings data,.ift,"Settings, options, themes and skins",Unknown,,,,,
Movie Maker profile,.wlvs,"Settings, options, themes and skins",Unknown,,,,,
FFmpeg preset,.ffpreset,"Settings, options, themes and skins",Unknown,,,,,
HTC Manila 2D for Windows Mobile skin,.m2d,"Settings, options, themes and skins",Unknown,,,,,
Sublime Text build data,.sublime-build,"Settings, options, themes and skins",Unknown,,,,,
Radmin phonebook,.rpb,"Settings, options, themes and skins",Unknown,,,,,
Jaikoz settings file,.jai,"Settings, options, themes and skins",Unknown,,,,,
User Interface file,.ui,"Settings, options, themes and skins",Unknown,,,,,
SEO SpyGlass project,.spy,"Settings, options, themes and skins",Unknown,,,,,
SuperEQ equalizer settings,.feq,"Settings, options, themes and skins",Unknown,,,,,
Windows Live Messenger contact list file,.ctt,"Settings, options, themes and skins",Unknown,,,,,
Adobe Acrobat UI settings,.aaui,"Settings, options, themes and skins",Unknown,,,,,
Microsoft XPS document settings,.fdoc,"Settings, options, themes and skins",Unknown,,,,,
USC module definition,.usc,"Settings, options, themes and skins",application/vnd.epson.ssf,,,,,
Strand 300 Lighting Console show,.ssf,"Settings, options, themes and skins",Unknown,,,,,
Apple Keynote presentation XML document settings,.apxl,"Settings, options, themes and skins",Unknown,,,,,
Adobe Acrobat printer description,.xdc,"Settings, options, themes and skins",Unknown,,,,,
ArchiCAD attribute transfer,.aat,"Settings, options, themes and skins",Unknown,,,,,
Corel PaintShop Photo Pro brush stroke presets,.pbs,"Settings, options, themes and skins",Unknown,,,,,
WinFlash Educator options and statistic data,.fld,"Settings, options, themes and skins",Unknown,,,,,
Zend Studio team project settings,.pfs,"Settings, options, themes and skins",Unknown,,,,,
Corel WordPerfect label definition file,.lab,"Settings, options, themes and skins",Unknown,,,,,
CodeWarrior debug preferences,.dbh,"Settings, options, themes and skins",Unknown,,,,,
Reflection settings,.r2w,"Settings, options, themes and skins",Unknown,,,,,
HP PC Hardware Diagnostics settings,.cva,"Settings, options, themes and skins",Unknown,,,,,
Bash Shell startup script configuration data,.bashrc,"Settings, options, themes and skins",Unknown,,,,,
Microsoft administrative language-specific XML template,.adml,"Settings, options, themes and skins",Unknown,,,,,
ICQ Plus skin,.ipz,"Settings, options, themes and skins",Unknown,,,,,
IBM Research data,.cpxml,"Settings, options, themes and skins",Unknown,,,,,
RealPlayer visualization data,.rpv,"Settings, options, themes and skins",application/vnd.novadigm.edm,,,,,
Adobe Extension Data Markup Language (EDML),.edm,"Settings, options, themes and skins",Unknown,,,,,
Adobe language localization,.zdct,"Settings, options, themes and skins",Unknown,,,,,
FMOD audio settings,.fev,"Settings, options, themes and skins",Unknown,,,,,
The Core Media Player skin,.csz,"Settings, options, themes and skins",Unknown,,,,,
Lotus printer driver characters,.apc,"Settings, options, themes and skins",Unknown,,,,,
Microcoft setup information data,.in_,"Settings, options, themes and skins",Unknown,,,,,
Corel PaintShop Pro enamel presets,.pen,"Settings, options, themes and skins",Unknown,,,,,
DAZ Studio layered image set,.dsi,"Settings, options, themes and skins",Unknown,,,,,
Native Instruments Kontakt settings,.nksn,"Settings, options, themes and skins",Unknown,,,,,
µTorrent skin,.btskin,"Settings, options, themes and skins",Unknown,,,,,
Sunlite Suite 2 ScanLibrary settings,.ssl2,"Settings, options, themes and skins",Unknown,,,,,
ActiveXperts MMS Toolkit settings,.mm1,"Settings, options, themes and skins",Unknown,,,,,
Vkontakte.DJ playlist,.vkdj,"Settings, options, themes and skins",Unknown,,,,,
CorelDRAW Pantone spot reference palette,.ipl,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Windows Credential Manager schema,.vsch,"Settings, options, themes and skins",Unknown,,,,,
ArcGIS option data,.a2e,"Settings, options, themes and skins",Unknown,,,,,
Winamp 3 skin format,.wal,"Settings, options, themes and skins",Unknown,,,,,
Borland Turbo Debugger for Windows session-state settings,.trw,"Settings, options, themes and skins",Unknown,,,,,
Adobe HTTP Dynamic Streaming Flash media manifest,.f4m,"Settings, options, themes and skins",Unknown,,,,,
PowerDVD PlayList,.playlist,"Settings, options, themes and skins",Unknown,,,,,
Omron CX-Programmer data,.opt,"Settings, options, themes and skins",Unknown,,,,,
Google Android settings of accessibility,.sasf,"Settings, options, themes and skins",Unknown,,,,,
Nokia playlist,.npl,"Settings, options, themes and skins",Unknown,,,,,
AnyDVD registration key,.anydvdhd,"Settings, options, themes and skins",Unknown,,,,,
CorelDRAW arrow-head definition data,.end,"Settings, options, themes and skins",Unknown,,,,,
Mouse and Key Recorder recorded settings,.krc,"Settings, options, themes and skins",Unknown,,,,,
Sothink Logo Maker color scheme,.scheme,"Settings, options, themes and skins",Unknown,,,,,
Adobe After Effects render settings,.ars,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Access macro shortcut,.mam,"Settings, options, themes and skins",Unknown,,,,,
Smedge2 job settings,.smr,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Access field template file,.accfl,"Settings, options, themes and skins",Unknown,,,,,
Windows Performance Monitor chart settings,.pmc,"Settings, options, themes and skins",Unknown,,,,,
Band-in-a-Box interface data,.bbw,"Settings, options, themes and skins",Unknown,,,,,
Corel WordPerfect figure editor button bar,.feb,"Settings, options, themes and skins",Unknown,,,,,
Reflection for IBM updated settings,.rsu,"Settings, options, themes and skins",Unknown,,,,,
EditorConfig settings,.editorconfig,"Settings, options, themes and skins",Unknown,,,,,
PI Process display definition file,.pdi,"Settings, options, themes and skins",Unknown,,,,,
Cinestar remote control configuration data,.mkp,"Settings, options, themes and skins",Unknown,,,,,
RadLight skin,.rls,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Live Messenger avatar,.id2,"Settings, options, themes and skins",Unknown,,,,,
SQL Server project deployment model,.ispac,"Settings, options, themes and skins",Unknown,,,,,
SketchUp style,.style,"Settings, options, themes and skins",Unknown,,,,,
BPM Studio play list structure,.gps,"Settings, options, themes and skins",Unknown,,,,,
Logitech Video Effects avatar and face accessory,.lvf,"Settings, options, themes and skins",Unknown,,,,,
IBasic component,.ibl,"Settings, options, themes and skins",image/x-sony-srf,,,,,
Steinberg Cubase resource file,.srf,"Settings, options, themes and skins",Unknown,,,,,
Setup data or info,.set,"Settings, options, themes and skins",Unknown,,,,,
Adobe Photoshop replace color range,.axt,"Settings, options, themes and skins",Unknown,,,,,
SMART Table Toolkit activity data,.tablecontent,"Settings, options, themes and skins",Unknown,,,,,
Examine32 saved search paramaters,.exa,"Settings, options, themes and skins",Unknown,,,,,
Folder Guard attributes,.fga,"Settings, options, themes and skins",Unknown,,,,,
SiteMinder forms credential collector data,.fcc,"Settings, options, themes and skins",Unknown,,,,,
Project64 joystick settings,.jsf,"Settings, options, themes and skins",Unknown,,,,,
SAP GUI data,.s8l,"Settings, options, themes and skins",Unknown,,,,,
IntelliCAD keyboard shortcut data,.ick,"Settings, options, themes and skins",Unknown,,,,,
GridMove grid settings,.grid,"Settings, options, themes and skins",Unknown,,,,,
Alpha Five set objects,.sem,"Settings, options, themes and skins",Unknown,,,,,
GEMS engine control unit,.gin,"Settings, options, themes and skins",Unknown,,,,,
iOS data,.applesyncinfo,"Settings, options, themes and skins",Unknown,,,,,
Sublime Text project,.sublime-project,"Settings, options, themes and skins",Unknown,,,,,
Taskmaster batch pilot form file,.dcf,"Settings, options, themes and skins",Unknown,,,,,
Aston Desktop desktop skin,.a2desktop,"Settings, options, themes and skins",Unknown,,,,,
TCP/IP settings file,.netrc,"Settings, options, themes and skins",Unknown,,,,,
Presto job data,.pzh,"Settings, options, themes and skins",Unknown,,,,,
WhoopSee skin,.wsn,"Settings, options, themes and skins",Unknown,,,,,
Sublime Text syntax definition format,.sublime-syntax,"Settings, options, themes and skins",Unknown,,,,,
ZEN Display settings,.czsdp,"Settings, options, themes and skins",Unknown,,,,,
MP3 player settings,.nmdsdcid,"Settings, options, themes and skins",Unknown,,,,,
Adobe Acrobat job options data,.joboptions,"Settings, options, themes and skins",Unknown,,,,,
Adobe applications workspace setting,.workspace,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Visual Studio settings,.vssettings,"Settings, options, themes and skins",Unknown,,,,,
Winamp equalizer preset,.q1,"Settings, options, themes and skins",Unknown,,,,,
Vectir profile group data,.vgp,"Settings, options, themes and skins",Unknown,,,,,
Dell KACE patch definition,.ospx,"Settings, options, themes and skins",Unknown,,,,,
Magic Set Editor settings,.mse-set,"Settings, options, themes and skins",Unknown,,,,,
KMPlayer skin,.ksf,"Settings, options, themes and skins",Unknown,,,,,
Sandisk Sansa playlist,.pla,"Settings, options, themes and skins",Unknown,,,,,
VNC configuration file,.vnc,"Settings, options, themes and skins",Unknown,,,,,
Autodesk AutoCAD drawing set description,.dsd,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Windows Resource Monitor settings,.resmoncfg,"Settings, options, themes and skins",Unknown,,,,,
Pro Tools I/O settings,.pio,"Settings, options, themes and skins",Unknown,,,,,
SmartWare cross-tab definition,.dfw,"Settings, options, themes and skins",Unknown,,,,,
GetRight skin,.grs,"Settings, options, themes and skins",Unknown,,,,,
Microsoft FoxPro startup data,.fpm,"Settings, options, themes and skins",Unknown,,,,,
Nero BackItUp template file,.nbt,"Settings, options, themes and skins",Unknown,,,,,
Windows Updates Downloader update list,.ul,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Outlook contacts AutoComplete file,.nk2,"Settings, options, themes and skins",Unknown,,,,,
Linksys WRT54GS data,.tri,"Settings, options, themes and skins",application/vnd.ecowin.chart,,,,,
Magenta colour separation,.mag,"Settings, options, themes and skins",Unknown,,,,,
Winamp MilkDrop plugin configuration data,.milk,"Settings, options, themes and skins",Unknown,,,,,
SmarterMail group file,.grp,"Settings, options, themes and skins",Unknown,,,,,
Preferences or project settings,.prefs,"Settings, options, themes and skins",Unknown,,,,,
DDRemote parameter data,.ddr,"Settings, options, themes and skins",Unknown,,,,,
Millions Email Generator syntax settings,.ese,"Settings, options, themes and skins",Unknown,,,,,
Eclipse JAR settings,.jardesc,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Visual Studio project user options,.user,"Settings, options, themes and skins",Unknown,,,,,
Micrografx FlowCharter work area data,.afw,"Settings, options, themes and skins",Unknown,,,,,
TextMate grammar file or Sublime Text syntax highlighting settings file,.tmlanguage,"Settings, options, themes and skins",Unknown,,,,,
LabVIEW IP addresses map,.aliases,"Settings, options, themes and skins",Unknown,,,,,
Unix Shell Script (bash) data,.bash_logout,"Settings, options, themes and skins",Unknown,,,,,
Battle.net settings update,.mfil,"Settings, options, themes and skins",Unknown,,,,,
Windows Wireless Network settings,.wfc,"Settings, options, themes and skins",application/vnd.koan,,,,,
Sage accounting software print,.skp,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Windows 7 library description data,.library-ms,"Settings, options, themes and skins",Unknown,,,,,
POD HD500X set data,.5xs,"Settings, options, themes and skins",Unknown,,,,,
EAGLE Project settings,.epf,"Settings, options, themes and skins",application/vnd.iccprofile,,,,,
Windows Image Color Matching data,.icm,"Settings, options, themes and skins",Unknown,,,,,
Canvas / Canvas X neon pen,.npn,"Settings, options, themes and skins",Unknown,,,,,
TCP Optimizer saved settings,.spg,"Settings, options, themes and skins",Unknown,,,,,
AviUtl language settings,.aul,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Office Binder template,.obt,"Settings, options, themes and skins",Unknown,,,,,
Eclipse IDE product settings file,.product,"Settings, options, themes and skins",Unknown,,,,,
Nokia Series 40 SD card configuration data,.cnfp,"Settings, options, themes and skins",Unknown,,,,,
Photo! 3D gallery,.a3g,"Settings, options, themes and skins",Unknown,,,,,
Corel Quattro Pro for DOS menu definition,.mu,"Settings, options, themes and skins",Unknown,,,,,
Zune smooth streaming,.mbr,"Settings, options, themes and skins",Unknown,,,,,
ijji REACTOR html launch settings,.nhn,"Settings, options, themes and skins",Unknown,,,,,
Java appletviewer data,.appletviewer,"Settings, options, themes and skins",Unknown,,,,,
Adobe Premiere style library,.prsl,"Settings, options, themes and skins",Unknown,,,,,
Nero Audio-CD compilation,.nra,"Settings, options, themes and skins",Unknown,,,,,
Adobe Dreamweaver configuration commands,.mno,"Settings, options, themes and skins",Unknown,,,,,
Qtracker filter,.qtf,"Settings, options, themes and skins",Unknown,,,,,
Microsoft Internet Explorer Internet Connection Wizard data,.icw,"Settings, options, themes and skins",Unknown,,,,,
CX-Programmer settings,.cxr,"Settings, options, themes and skins",Unknown,,,,,
NuGet settings,.nuspec,"Settings, options, themes and skins",Unknown,,,,,
Adobe Photoshop duotone,.ado,"Settings, options, themes and skins",Unknown,,,,,
X-Mouse exported profile,.xmbcs,"Settings, options, themes and skins",Unknown,,,,,
Configuration data,.sav,"Settings, options, themes and skins",Unknown,,,,,
E-Icons theme,.eit,"Settings, options, themes and skins",Unknown,,,,,
Steam Client GUI resource data,.styles,"Settings, options, themes and skins",Unknown,,,,,
Adobe Photoshop Lightroom preferences,.agprefs,"Settings, options, themes and skins",Unknown,,,,,
Visual FoxPro configuration,.mkt,"Settings, options, themes and skins",Unknown,,,,,
Windows Mail group data,.group,"Settings, options, themes and skins",Unknown,,,,,
Kontakt saved presets,.nkp,"Settings, options, themes and skins",Unknown,,,,,
Picture Control Utility picture control data,.np2,"Settings, options, themes and skins",Unknown,,,,,
AutoCAD font map settings,.fmp,Plugin,application/vnd.sun.xml.draw.template,,,,,
Adobe Acrobat exchange plug-in,.std,Plugin,Unknown,,,,,
TeamSpeak 3 plugin,.ts3_plugin,Plugin,application/x-xpinstall,,,,,
Firefox browser extension,.xpi,Plugin,Unknown,,,,,
Sublime Text compressed extension package,.sublime-package,Plugin,Unknown,,,,,
Google Chrome extension installer file format,.crx,Plugin,Unknown,,,,,
VirtualDub filter plug-in,.vdf,Plugin,Unknown,,,,,
Adobe Extension Manager Package,.zxp,Plugin,Unknown,,,,,
Synology Download Station search module,.dlm,Plugin,application/vnd.ms-excel,,,,,
Microsoft Excel add-in,.xla,Plugin,Unknown,,,,,
Foxit Reader add-on,.fzip,Plugin,Unknown,,,,,
Microsoft Visual Studio extension package,.vsix,Plugin,Unknown,,,,,
Mac application plug-in,.bundle,Plugin,Unknown,,,,,
Swifty data,.ack,Plugin,Unknown,,,,,
Cubase plugin,.vst3,Plugin,application/vnd.ms-excel.addin.macroenabled.12,,,,,
Microsoft Excel Open XML macro-enabled add-in,.xlam,Plugin,application/vnd.novadigm.ext,,,,,
Norton Commander extension,.ext,Plugin,Unknown,,,,,
Microsoft Outlook add-in,.ecf,Plugin,Unknown,,,,,
Microsoft SharePoint Workspacen tool archive,.gta,Plugin,Unknown,,,,,
JRiver Media Center plug-in,.mjp,Plugin,Unknown,,,,,
Adobe Acrobat Exchange plug-in,.stp,Plugin,Unknown,,,,,
Lingoes compiled dictionary,.ld2,Plugin,Unknown,,,,,
Rhino Installer Engine package,.rhi,Plugin,Unknown,,,,,
Animation Master turbulence plug-in,.trb,Plugin,Unknown,,,,,
3D Studio Max animation controller,.dlc,Plugin,Unknown,,,,,
Opera widgets,.wgt,Plugin,Unknown,,,,,
AutoCAD runtime extension,.arx,Plugin,Unknown,,,,,
Girder binary plugin,.bgr,Plugin,Unknown,,,,,
SketchUp plugin script,.rb,Plugin,Unknown,,,,,
Apple Safari extension,.safariextz,Plugin,Unknown,,,,,
SketchUp plugin script,.rbz,Plugin,Unknown,,,,,
OSGi Bundle Repository data,.obr,Plugin,Unknown,,,,,
Steinberg audio preset,.fxp,Plugin,Unknown,,,,,
lzop archive,.lzo,Plugin,Unknown,,,,,
Nyquist plug-in,.ny,Plugin,Unknown,,,,,
Adobe WorkFlow workgroup plugin,.awf,Plugin,Unknown,,,,,
Apple Color Picker palette,.clr,Plugin,Unknown,,,,,
Adobe Acrobat plugin,.api,Plugin,application/x-authorware-bin,,,,,
Adobe Xtra data,.x32,Plugin,Unknown,,,,,
Avant Browser add-on,.aba,Plugin,Unknown,,,,,
Microsoft Excel add-in,.xll,Plugin,Unknown,,,,,
Adobe (Macromedia) extension package,.mxp,Plugin,Unknown,,,,,
FileMaker Pro runtime extension,.blu,Plugin,Unknown,,,,,
AMX Mod X plug-in,.amxx,Plugin,application/vnd.ms-powerpoint.addin.macroenabled.12,,,,,
Microsoft PowerPoint macro-enabled Open XML add-in,.ppam,Plugin,Unknown,,,,,
PhotoWorks appearance,.p2m,Plugin,Unknown,,,,,
X-Plane plug-in,.xpl,Plugin,Unknown,,,,,
Pro Tools audio plugin,.aaxplugin,Plugin,Unknown,,,,,
Adobe Illustrator plugin,.aip,Plugin,Unknown,,,,,
Adobe plug-in filter,.8bf,Plugin,Unknown,,,,,
LabVIEW EMGWorks DataPlugin,.emg,Plugin,Unknown,,,,,
ArcView Extension plugin,.avx,Plugin,Unknown,,,,,
Jenkins plugin,.hpi,Plugin,Unknown,,,,,
TeamSpeak add-on,.ts3_soundpack,Plugin,Unknown,,,,,
QlikView plug-in,.qar,Plugin,Unknown,,,,,
Quicken Address Book add-on,.abd,Plugin,Unknown,,,,,
Autodesk Maya plug-in,.mll,Plugin,application/vnd.ms-powerpoint,,,,,
Microsoft PowerPoint 97 to 2003 add-in,.ppa,Plugin,Unknown,,,,,
Adobe InDesign plugin,.pln,Plugin,application/vnd.antix.game-component,,,,,
Animation:Master plugin,.atx,Plugin,Unknown,,,,,
Dreamkeys plug-in,.dkp,Plugin,application/vnd.openofficeorg.extension,,,,,
OpenOffice.org extension help format,.oxt,Plugin,Unknown,,,,,
ANSYS Workbench extension,.wbex,Plugin,Unknown,,,,,
Quicken QuickPay Windows 3.0 add-on,.qpd,Plugin,Unknown,,,,,
Privacy Killer Plug-in Manager data,.pkp,Plugin,Unknown,,,,,
KeePass optional plugin format,.plgx,Plugin,Unknown,,,,,
Opera add-on,.oex,Plugin,Unknown,,,,,
Microsoft Access add-in,.accda,Plugin,Unknown,,,,,
Application Boundaries Enforcer rules data,.abe,Plugin,Unknown,,,,,
TGPGuiLib Terragen plugin,.tgp,Plugin,Unknown,,,,,
Macromedia Xtra cache,.mch,Plugin,Unknown,,,,,
Ableton Live Massive plugin preset,.nmsv,Plugin,Unknown,,,,,
Microsoft Access add-in,.mda,Plugin,Unknown,,,,,
Adobe Acrobat UI settings,.aaui,Plugin,Unknown,,,,,
Adobe Photoshop Plugins Format,.8bi,Plugin,Unknown,,,,,
Escape Velocity Nova plugin,.rez,Plugin,Unknown,,,,,
Ren'Py module,.rpymc,Plugin,Unknown,,,,,
3D Studio Max plugin,.dle,Plugin,Unknown,,,,,
3D-Coat extension file,.3dcpack,Plugin,Unknown,,,,,
RealPlayer plugin external resources,.xrs,Plugin,Unknown,,,,,
SAP Xcelsius add-on,.xlx,Plugin,Unknown,,,,,
Finale plug-in,.fxt,Plugin,Unknown,,,,,
Animation Master volumetric effect plug-in file,.vfx,Plugin,Unknown,,,,,
YVES Bible plugin,.yves,Plugin,Unknown,,,,,
Lingoes appendix file,.laf,Plugin,Unknown,,,,,
HA compressed archive,.ha,Plugin,Unknown,,,,,
Ultimate Paint component file format,.upc,Plugin,Unknown,,,,,
Winamp Io plug-in,.ioc,Plugin,Unknown,,,,,
Plugin,.plugin,Plugin,Unknown,,,,,
Commodore emulator data,.d64,Plugin,Unknown,,,,,
Adobe Premiere plug-in,.prm,Plugin,Unknown,,,,,
macOS system component,.component,Plugin,Unknown,,,,,
TeamSpeak add-on,.ts3_translation,Plugin,Unknown,,,,,
HTC Home extension file,.hhpack,Plugin,Unknown,,,,,
NEXUS expansion pack,.nxp,Plugin,Unknown,,,,,
TeamSpeak add-on,.ts3_addon,Plugin,application/vnd.visio,,,,,
VST audio plug-in,.vst,Plugin,Unknown,,,,,
Microsoft Windows Server add-on,.wssx,Plugin,Unknown,,,,,
Page Update Checker checker data,.puc,Plugin,Unknown,,,,,
HP Printer Utility task plugin,.task,Plugin,Unknown,,,,,
3D Studio Max utility plug-in,.dlu,Plugin,Unknown,,,,,
DynSite plug-in,.dns,Plugin,Unknown,,,,,
Audible download plugin,.aad,Plugin,Unknown,,,,,
AutoCAD database extension,.dbx,Plugin,Unknown,,,,,
Aero AIO plug-in,.aiz,Plugin,Unknown,,,,,
nvStructural plug-in,.nvx,Plugin,application/x-rpm,,,,,
RealAudio plugin,.rpm,Plugin,Unknown,,,,,
Decorating Vignette web interior decorating plug-in,.vnt,Plugin,Unknown,,,,,
Adobe InDesign plug-in set,.pset,Plugin,Unknown,,,,,
Steinberg VST audio preset plug-in,.fxb,Plugin,Unknown,,,,,
Maxwell Render extension data,.mxx,Plugin,Unknown,,,,,
Microsoft Word add-in,.wll,Plugin,Unknown,,,,,
AIM AOL Instant Messenger UI plug-in,.amo,Plugin,Unknown,,,,,
VBMaximizer data,.vmr,Plugin,Unknown,,,,,
HP Printer Utility for Mac discovery plugin,.discovery,Plugin,Unknown,,,,,
Microsoft PowerPoint add-in,.pa,Plugin,Unknown,,,,,
macOS SystemUIServer MenuExtra plugin,.menu,Plugin,Unknown,,,,,
Windows 7 Toolkit data,.wa,Plugin,Unknown,,,,,
VirtualDub plugin,.vdplugin,Plugin,Unknown,,,,,
Adobe Director Xtra data,.xtra,Plugin,Unknown,,,,,
Dragon UnPACKer driver,.d5d,Plugin,Unknown,,,,,
RockBox plugin,.rock,Plugin,Unknown,,,,,
Nokia 9000 Communicator add-on software,.aos,Plugin,Unknown,,,,,
iOS notification service extension,.pushstore,Plugin,Unknown,,,,,
Orcs Must Die! plugin file,.vplugin,Plugin,Unknown,,,,,
FileMaker Pro plug-in,.wlx,Plugin,Unknown,,,,,
La grande Encyclopédie plug-in,.lxp,Plugin,Unknown,,,,,
India Ink plug-in data,.q7q,Plugin,Unknown,,,,,
Apple Logic Studio WaveBurner plug-in preset,.wpr,Plugin,Unknown,,,,,
Messenger Plus! sound pack,.plp,Plugin,Unknown,,,,,
SAP Business One SDK add-on related data,.sbo,Plugin,Unknown,,,,,
Adobe Photoshop plug-in filter,.8be,Plugin,Unknown,,,,,
Adobe PhotoShop plugin,.8bx,Plugin,Unknown,,,,,
WCPUID plug-in,.wpi,Plugin,application/vnd.audiograph,,,,,
AudioGraph animation data,.aep,Plugin,Unknown,,,,,
Adobe InDesign 3rd party plug-in,.apln,Plugin,Unknown,,,,,
JIRA importers plugin,.jim,Plugin,Unknown,,,,,
4th Dimension plugin,.4dx,Plugin,Unknown,,,,,
Adobe PhotoShop plug-in,.8ba,Plugin,Unknown,,,,,
Microsoft Excel VBA module,.xlv,Plugin,Unknown,,,,,
Micrografx QuickSilver graphic plugin,.qsf,Plugin,Unknown,,,,,
Adobe Photoshop scripting plugin,.8li,Plugin,Unknown,,,,,
HTML-KIT plugin file,.hks,Plugin,Unknown,,,,,
Live Messenger script pack,.plsc,Plugin,Unknown,,,,,
Signwave Auto-Illustrator plug-in,.xeo,Plugin,Unknown,,,,,
Native Instruments Traktor content pack,.trak,Plugin,Unknown,,,,,
Microsoft Visual Studio add-in,.addin,Plugin,Unknown,,,,,
Total Commander content plugin,.wdx,Plugin,Unknown,,,,,
Adobe Dreamweaver Extension Manager plugins package,.mxi,Plugin,application/xop+xml,,,,,
IGOR Pro add-on,.xop,Plugin,Unknown,,,,,
AQQ plug-in,.aqq,Plugin,Unknown,,,,,
Adobe InDesign required function library,.rpln,Plugin,Unknown,,,,,
eyeon Fusion plugin file,.dfp,Plugin,Unknown,,,,,
SAP Business All-in-One plug-in file,.slnk,Plugin,Unknown,,,,,
Coda for Mac plugin file,.mode,Plugin,Unknown,,,,,
SA Color Finesse plugin for After Effects preset,.cfpreset,Plugin,Unknown,,,,,
MyEclipse UML model repository data,.umr,Plugin,Unknown,,,,,
