Description,Extension,Category,MIME type
Lazesoft Backup Disk Image,.lvi,Disk Images,Unknown
Zipped FlipViewer FlipBook,.opz,eBook,Unknown
GRAPH Hierarchical Data File,.graph,Text,Unknown
Squeeze Presets File,.spfx,Settings Files,Unknown
.NET Security Resolution Cache File,.cch,Misc Files,Unknown
Electronic Data Interchange File,.edi,Data Files,Unknown
Terminal Command File,.command,Executable,Unknown
Nokia Composer Ringtone,.rng,Audio,Unknown
QuarkXPress Document,.qxd,Page Layouts,application/vnd.quark.quarkxpress
Popnoggin Image File,.pni,Raster Images,Unknown
Altium Designer Script Project,.prjscr,CAD Files,Unknown
J&ASoft Code Archive File,.qualsoftcode,Backup Files,Unknown
Zoom Router Configuration File,.icf,Backup Files,application/vnd.commerce-battelle
Vertex Shader File,.vs,3D Images,Unknown
Internet Settings File,.ins,Settings Files,application/x-internet-signup
Visual Basic ActiveX Document,.vbd,Web Files,Unknown
Ruby ERB Script,.erb,Developer Files,Unknown
NoLimits Roller Coaster Track File,.nltrack,Game Files,Unknown
Pegasus Mail Configuration File,.pmj,Settings Files,Unknown
Bethesda Softworks Archive,.bsa,Game Files,Unknown
Space Engine Nebula Model File,.nm,3D Images,Unknown
XXEncoded File,.xxe,Encoded Files,Unknown
Family Tree Builder Genealogy Database File,.ftb,Database Files,Unknown
Oracle Package File,.pkh,Data Files,Unknown
ArcGIS Report Document File,.rdf,GIS Files,application/rdf+xml
MPEG-4 Timed Text Subtitles File,.ttxt,Video,Unknown
FreeMarker Template File,.ftl,Developer Files,Unknown
BlindWrite 6 Disc Image,.b6i,Disk Images,Unknown
Quicken Interchange Format File,.qif,Data Files,Unknown
Delphi Package,.dpkw,Developer Files,Unknown
Compressed Poser Hair File,.hrz,3D Images,Unknown
AIMMS Project File,.prj,Data Files,Unknown
Hemera Photo Objects Image File,.hpi,Raster Images,application/vnd.hp-hpid
Vector Art 3D Model File,.v3v,3D Images,Unknown
iPhone/iPod Touch SHSH Blob File,.shsh,System Files,Unknown
JTAG Indirect Configuration File,.jic,Developer Files,Unknown
Samsung Memo Backup File,.nmmm,Backup Files,Unknown
iAd Producer Plugin Style Template,.iadstyle,Plugin Files,Unknown
Windows XP Unsigned Style,.msstyle,System Files,Unknown
Fritz TableBase,.emd,Game Files,Unknown
ACDSee Photo Document,.apd,Raster Images,Unknown
Mac OS X 7-Zip File,.s7z,Compressed,Unknown
Samsung Mobile Device Firmware File,.rc1,System Files,Unknown
CrazyTalk Animator Actor Fitting File,.ctbodyfitting,Settings Files,Unknown
DTS Multi-channel Pro Packer File,.agm,Audio,Unknown
Bejeweled 2 Deluxe Saved Game,.bejeweled2deluxesavedgame,Game Files,Unknown
iOS Application,.ipa,Executable,Unknown
BobCAD-CAM Document,.bbcdx,CAD Files,Unknown
WinOptimizer Encrypted File,.crypted,Encoded Files,Unknown
Batch Compiler Specification File,.bcs,Settings Files,Unknown
PhotoScape X Project,.psxprj,Raster Images,Unknown
Office 2007 Theme,.thmx,Settings Files,application/vnd.ms-officetheme
GPS TrackMaker Data File,.gtm,GIS Files,application/vnd.groove-tool-message
Microsoft Media Catalog,.mmc,Data Files,Unknown
WinDVD Creator Project File,.wcp,Video,Unknown
Finale 2014 Score Template,.ftmx,Audio,Unknown
Twixl Publisher Publication,.publication,Page Layouts,Unknown
Xcode Plug-in,.xcodeplugin,Plugin Files,Unknown
Tiled Raster Interchange Format,.trif,Raster Images,Unknown
Clickteam Fusion Extension,.mfx,Plugin Files,Unknown
Samsung Mobile Backup File,.sme,Backup Files,Unknown
Picasa Collage File,.cxf,Misc Files,chemical/x-cxf
